Id2,Geography,Total; Estimate; Average household size
6075026402,"Census Tract 264.02, San Francisco County, California",3.72
6075026403,"Census Tract 264.03, San Francisco County, California",3.65
6075026404,"Census Tract 264.04, San Francisco County, California",4.13
6075030101,"Census Tract 301.01, San Francisco County, California",2.13
6075030102,"Census Tract 301.02, San Francisco County, California",2
6075030201,"Census Tract 302.01, San Francisco County, California",2.22
6075030202,"Census Tract 302.02, San Francisco County, California",2.08
6075030301,"Census Tract 303.01, San Francisco County, California",2.48
6075030302,"Census Tract 303.02, San Francisco County, California",2.88
6075030400,"Census Tract 304, San Francisco County, California",2.71
6075030500,"Census Tract 305, San Francisco County, California",2.15
6075030600,"Census Tract 306, San Francisco County, California",2.52
6075030700,"Census Tract 307, San Francisco County, California",2.47
6075030800,"Census Tract 308, San Francisco County, California",2.64
6075030900,"Census Tract 309, San Francisco County, California",2.86
6075031000,"Census Tract 310, San Francisco County, California",2.63
6075031100,"Census Tract 311, San Francisco County, California",2.63
6075031201,"Census Tract 312.01, San Francisco County, California",3.84
6075031202,"Census Tract 312.02, San Francisco County, California",3.45
6075031301,"Census Tract 313.01, San Francisco County, California",3.34
6075031302,"Census Tract 313.02, San Francisco County, California",3.38
6075031400,"Census Tract 314, San Francisco County, California",3.51
6075032601,"Census Tract 326.01, San Francisco County, California",2.69
6075032602,"Census Tract 326.02, San Francisco County, California",2.77
6075032700,"Census Tract 327, San Francisco County, California",2.85
6075032801,"Census Tract 328.01, San Francisco County, California",2.99
6075032802,"Census Tract 328.02, San Francisco County, California",2.72
6075032901,"Census Tract 329.01, San Francisco County, California",2.94
6075032902,"Census Tract 329.02, San Francisco County, California",2.96
6075033000,"Census Tract 330, San Francisco County, California",2.87
6075033100,"Census Tract 331, San Francisco County, California",2.82
6075033201,"Census Tract 332.01, San Francisco County, California",3
6075033203,"Census Tract 332.03, San Francisco County, California",2.38
6075033204,"Census Tract 332.04, San Francisco County, California",2.22
6075035100,"Census Tract 351, San Francisco County, California",2.84
6075035201,"Census Tract 352.01, San Francisco County, California",2.96
6075035202,"Census Tract 352.02, San Francisco County, California",2.65
6075035300,"Census Tract 353, San Francisco County, California",3.12
6075035400,"Census Tract 354, San Francisco County, California",2.95
6075040100,"Census Tract 401, San Francisco County, California",2.13
6075040200,"Census Tract 402, San Francisco County, California",2.52
6075042601,"Census Tract 426.01, San Francisco County, California",2.19
6075042602,"Census Tract 426.02, San Francisco County, California",2.53
6075042700,"Census Tract 427, San Francisco County, California",2.51
6075042800,"Census Tract 428, San Francisco County, California",2.61
6075045100,"Census Tract 451, San Francisco County, California",2.22
6075045200,"Census Tract 452, San Francisco County, California",2.28
6075047600,"Census Tract 476, San Francisco County, California",2.37
6075047701,"Census Tract 477.01, San Francisco County, California",2.26
6075047702,"Census Tract 477.02, San Francisco County, California",2.59
6075047801,"Census Tract 478.01, San Francisco County, California",2.91
6075047802,"Census Tract 478.02, San Francisco County, California",2.7
6075047901,"Census Tract 479.01, San Francisco County, California",2.49
6075047902,"Census Tract 479.02, San Francisco County, California",2.35
6075060100,"Census Tract 601, San Francisco County, California",2.69
6075060400,"Census Tract 604, San Francisco County, California",1.66
6075060502,"Census Tract 605.02, San Francisco County, California",2.99
6075060700,"Census Tract 607, San Francisco County, California",1.95
6075061000,"Census Tract 610, San Francisco County, California",2.95
6075061100,"Census Tract 611, San Francisco County, California",2.05
6075061200,"Census Tract 612, San Francisco County, California",3.39
6075061400,"Census Tract 614, San Francisco County, California",2.23
6075061500,"Census Tract 615, San Francisco County, California",1.71
6075980200,"Census Tract 9802, San Francisco County, California",2.46
6075980300,"Census Tract 9803, San Francisco County, California",1.43
6075980401,"Census Tract 9804.01, San Francisco County, California",-
6075980501,"Census Tract 9805.01, San Francisco County, California",2.25
6075980600,"Census Tract 9806, San Francisco County, California",2.07
6075980900,"Census Tract 9809, San Francisco County, California",1.77
6075990100,"Census Tract 9901, San Francisco County, California",-
