Id2,Geography,Total; Estimate; Average household size
6075010100,"Census Tract 101, San Francisco County, California",1.63
6075010200,"Census Tract 102, San Francisco County, California",1.51
6075010300,"Census Tract 103, San Francisco County, California",2.26
6075010400,"Census Tract 104, San Francisco County, California",1.94
6075010500,"Census Tract 105, San Francisco County, California",1.59
6075010600,"Census Tract 106, San Francisco County, California",2.08
6075010700,"Census Tract 107, San Francisco County, California",2.08
6075010800,"Census Tract 108, San Francisco County, California",1.95
6075010900,"Census Tract 109, San Francisco County, California",1.74
6075011000,"Census Tract 110, San Francisco County, California",1.96
6075011100,"Census Tract 111, San Francisco County, California",1.67
6075011200,"Census Tract 112, San Francisco County, California",1.97
6075011300,"Census Tract 113, San Francisco County, California",2.08
6075011700,"Census Tract 117, San Francisco County, California",1.44
6075011800,"Census Tract 118, San Francisco County, California",2.33
6075011901,"Census Tract 119.01, San Francisco County, California",1.5
6075011902,"Census Tract 119.02, San Francisco County, California",1.72
6075012000,"Census Tract 120, San Francisco County, California",1.35
6075012100,"Census Tract 121, San Francisco County, California",1.52
6075012201,"Census Tract 122.01, San Francisco County, California",1.7
6075012202,"Census Tract 122.02, San Francisco County, California",1.57
6075012301,"Census Tract 123.01, San Francisco County, California",1.45
6075012302,"Census Tract 123.02, San Francisco County, California",1.36
6075012401,"Census Tract 124.01, San Francisco County, California",1.84
6075012402,"Census Tract 124.02, San Francisco County, California",1.43
6075012501,"Census Tract 125.01, San Francisco County, California",1.53
6075012502,"Census Tract 125.02, San Francisco County, California",1.66
6075012601,"Census Tract 126.01, San Francisco County, California",1.58
6075012602,"Census Tract 126.02, San Francisco County, California",1.73
6075012700,"Census Tract 127, San Francisco County, California",1.76
6075012800,"Census Tract 128, San Francisco County, California",1.9
6075012901,"Census Tract 129.01, San Francisco County, California",1.63
6075012902,"Census Tract 129.02, San Francisco County, California",1.53
6075013000,"Census Tract 130, San Francisco County, California",1.62
6075013101,"Census Tract 131.01, San Francisco County, California",1.54
6075013102,"Census Tract 131.02, San Francisco County, California",1.69
6075013200,"Census Tract 132, San Francisco County, California",1.86
6075013300,"Census Tract 133, San Francisco County, California",2.17
6075013400,"Census Tract 134, San Francisco County, California",1.96
6075013500,"Census Tract 135, San Francisco County, California",1.52
6075015100,"Census Tract 151, San Francisco County, California",1.32
6075015200,"Census Tract 152, San Francisco County, California",1.64
6075015300,"Census Tract 153, San Francisco County, California",2.13
6075015400,"Census Tract 154, San Francisco County, California",2
6075015500,"Census Tract 155, San Francisco County, California",1.61
6075015600,"Census Tract 156, San Francisco County, California",2.3
6075015700,"Census Tract 157, San Francisco County, California",2.08
6075015801,"Census Tract 158.01, San Francisco County, California",2.03
6075015802,"Census Tract 158.02, San Francisco County, California",1.8
6075015900,"Census Tract 159, San Francisco County, California",1.83
6075016000,"Census Tract 160, San Francisco County, California",1.53
6075016100,"Census Tract 161, San Francisco County, California",1.7
6075016200,"Census Tract 162, San Francisco County, California",1.6
6075016300,"Census Tract 163, San Francisco County, California",2.18
6075016400,"Census Tract 164, San Francisco County, California",1.99
6075016500,"Census Tract 165, San Francisco County, California",2.03
6075016600,"Census Tract 166, San Francisco County, California",2.07
6075016700,"Census Tract 167, San Francisco County, California",2.18
6075016801,"Census Tract 168.01, San Francisco County, California",2.05
6075016802,"Census Tract 168.02, San Francisco County, California",1.85
6075016900,"Census Tract 169, San Francisco County, California",1.82
6075017000,"Census Tract 170, San Francisco County, California",1.85
6075017101,"Census Tract 171.01, San Francisco County, California",1.98
6075017102,"Census Tract 171.02, San Francisco County, California",2.11
6075017601,"Census Tract 176.01, San Francisco County, California",1.81
6075017700,"Census Tract 177, San Francisco County, California",2.3
6075017801,"Census Tract 178.01, San Francisco County, California",1.35
6075017802,"Census Tract 178.02, San Francisco County, California",2.02
