,Geoid,num evictions,geoid_year,Total Population,Total Housing Units,Total; Estimate; Average household size,Year,Median Year Structure Built,Median Year Moved In,Percent with Bachelor's degree,Median rent burden,Evictions per units,Percent Black,Percent White,Percent Asian,Percent Native,"Percent H, PI"
0,06075010200,1,60750102002017,4363.0,3056.0,1.74,2017,1939.0,2011.0,44.3,23.3,0.0003272251308900524,0.007792803117121247,0.8427687371074949,0.1118496447398579,0.0,0.00206280082512033
1,06075010300,1,60750103002017,4377.0,2379.0,2.16,2017,1939.0,2010.0,38.1,21.0,0.0004203446826397646,0.0,0.6186885994973726,0.33013479552204705,0.0,0.0
2,06075010300,2,60750103002018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
3,06075010400,2,60750104002017,4645.0,2883.0,1.91,2017,1939.0,2008.0,37.4,23.3,0.000693721817551162,0.00021528525296017224,0.5967707212055974,0.28417653390742736,0.000861141011840689,0.0
4,06075010400,4,60750104002018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
5,06075010600,1,60750106002017,3505.0,2154.0,1.92,2017,1939.0,2011.0,27.7,27.5,0.00046425255338904364,0.016262482168330955,0.34522111269614836,0.6165477888730385,0.0,0.0
6,06075010800,1,60750108002018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
7,06075010900,1,60750109002017,4519.0,2882.0,1.69,2017,1939.0,2010.0,42.4,19.6,0.00034698126301179735,0.015268864793095818,0.7005974773179907,0.2511617614516486,0.0,0.0
8,06075011100,1,60750111002018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
9,06075011200,1,60750112002018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
10,06075012602,1,60750126022018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
11,06075012700,2,60750127002017,3637.0,2304.0,1.74,2017,1939.0,2011.0,49.1,24.7,0.0008680555555555555,0.025295573274676932,0.8292548803959308,0.08770965081110806,0.0,0.006323893318669233
12,06075012800,1,60750128002017,4738.0,2569.0,2.03,2017,1939.0,2012.0,46.9,18.6,0.00038925652004671076,0.016884761502743775,0.8653440270156184,0.07914731954411144,0.00021105951878429716,0.0
13,06075012800,1,60750128002018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
14,06075012901,1,60750129012017,2754.0,1694.0,1.77,2017,1939.0,2010.0,55.3,18.5,0.0005903187721369539,0.0,0.8340595497458243,0.10239651416122005,0.00980392156862745,0.0
15,06075012901,2,60750129012018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
16,06075012902,2,60750129022017,3628.0,2244.0,1.75,2017,1939.0,2011.0,51.4,23.7,0.00089126559714795,0.027563395810363836,0.7932745314222712,0.12045203969128997,0.0033076074972436605,0.0
17,06075012902,1,60750129022018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
18,06075013000,1,60750130002018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
19,06075013200,2,60750132002018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
20,06075013300,1,60750133002017,4626.0,2101.0,2.22,2017,1939.0,2009.0,40.6,23.2,0.00047596382674916705,0.021184608733246867,0.7462170341547774,0.14785992217898833,0.0,0.0030263726761781237
21,06075013400,1,60750134002017,4031.0,2191.0,2.0,2017,1939.0,2012.0,40.9,22.0,0.00045641259698767686,0.01463656660878194,0.7444802778466881,0.17464648970478788,0.0,0.003969238402381543
22,06075013500,2,60750135002017,2617.0,1887.0,1.62,2017,1939.0,2011.0,40.0,19.8,0.0010598834128245894,0.027130301872372947,0.6790217806648835,0.24188001528467712,0.0038211692777990066,0.0
23,06075015300,1,60750153002017,2210.0,1041.0,2.13,2017,1939.0,2011.0,38.8,24.9,0.0009606147934678194,0.07737556561085973,0.6751131221719457,0.17782805429864254,0.0,0.007239819004524887
24,06075015400,2,60750154002017,5877.0,3179.0,2.0,2017,1939.0,2011.0,39.4,23.4,0.0006291286568103177,0.016845329249617153,0.6647949634167092,0.23702569338097668,0.00017015484090522376,0.018887187340479835
25,06075015400,1,60750154002018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
26,06075015600,1,60750156002017,3236.0,1576.0,2.23,2017,1950.0,2012.0,40.6,24.6,0.0006345177664974619,0.021013597033374538,0.5565512978986403,0.34672435105067984,0.0,0.0
27,06075015600,2,60750156002018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
28,06075015700,3,60750157002017,9377.0,2844.0,2.26,2017,1947.0,2012.0,44.2,24.1,0.0010548523206751054,0.03785859016743095,0.5767302975365255,0.24581422629838967,0.0,0.010451103764530234
29,06075015700,1,60750157002018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
30,06075015802,2,60750158022017,3506.0,1681.0,2.17,2017,1939.0,2011.0,43.8,24.0,0.001189767995240928,0.08328579577866514,0.6662863662293211,0.11523103251568739,0.005419281232173417,0.0031374786081003994
31,06075015802,1,60750158022018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
32,06075016200,1,60750162002017,3236.0,1954.0,1.77,2017,1947.0,2011.0,47.4,24.8,0.0005117707267144319,0.044190358467243514,0.6365883807169345,0.2515451174289246,0.0,0.001854140914709518
33,06075016300,1,60750163002017,4671.0,2160.0,2.23,2017,1939.0,2009.0,46.9,20.1,0.000462962962962963,0.14001284521515736,0.5895953757225434,0.15692571183900664,0.0,0.0
34,06075016400,2,60750164002017,3915.0,1935.0,2.01,2017,1939.0,2011.0,41.4,22.9,0.0010335917312661498,0.1016602809706258,0.6888888888888889,0.12413793103448276,0.002554278416347382,0.0
35,06075016500,5,60750165002017,5760.0,2509.0,2.35,2017,1939.0,2011.0,50.0,22.6,0.0019928258270227183,0.07065972222222222,0.7144097222222222,0.11510416666666666,0.0,0.0
36,06075016500,1,60750165002018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
37,06075016700,2,60750167002018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
38,06075017000,3,60750170002017,4113.0,2374.0,1.86,2017,1939.0,2011.0,39.7,20.5,0.0012636899747262005,0.007050814490639436,0.8178944809141746,0.12472647702407003,0.0,0.004862630683199611
39,06075017101,1,60750171012017,3743.0,1972.0,2.12,2017,1939.0,2011.0,41.5,21.0,0.0005070993914807302,0.04381512156024579,0.7921453379641998,0.06545551696500133,0.013358268768367619,0.0
40,06075017101,1,60750171012018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
41,06075017102,1,60750171022018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
42,06075017601,2,60750176012018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
43,06075017700,1,60750177002017,1822.0,813.0,2.43,2017,1939.0,2010.0,36.7,23.1,0.0012300123001230013,0.033479692645444564,0.3968166849615807,0.20417124039517015,0.06531284302963776,0.0
44,06075020100,1,60750201002017,5911.0,3468.0,1.84,2017,1939.0,2011.0,29.2,31.7,0.0002883506343713956,0.05904246320419557,0.5046523430891559,0.16020977837929284,0.011503975638639825,0.012011503975638639
45,06075020200,2,60750202002017,6087.0,3438.0,1.87,2017,1939.0,2010.0,35.4,22.9,0.0005817335660267597,0.06784951536060457,0.57466732380483,0.17693445046821094,0.0024642681123706258,0.007392804337111878
46,06075020200,1,60750202002018,4865.849557522124,2005.5221238938052,2.6429203539823014,2018,1943.2300884955753,2009.8230088495575,32.61946902654866,27.650442477876098,0.0013378127506082694,0.03984970200476138,0.4612551628561711,0.35964033238699916,0.0032973168606924546,0.0036228655193046716
47,06075020300,1,60750203002017,3413.0,1923.0,1.89,2017,1939.0,2009.0,44.3,20.4,0.0005200208008320333,0.03633167301494287,0.7011426897157925,0.12833284500439496,0.004980955171403457,0.0
