,Eviction ID,Address,City,State,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Year,Latitude,Longitude,Geoid
13039,M162562,2400 Block Of 21st  Avenue,San Francisco,CA,94116.0,08/09/2016,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,10/07/2021,4.0,Sunset/Parkside,"(37.74202617358492, -122.47770068724006)",2016,37.74202617358492, -122.47770068724006,06075033000
13054,M153167,0 Block Of Moneta  Way,San Francisco,CA,94112.0,11/19/2015,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,01/16/2021,11.0,Outer Mission,"(37.712901105920295, -122.44975708560573)",2015,37.712901105920295, -122.44975708560573,06075026200
13057,M120352,600 Block Of Hayes  Street,San Francisco,CA,94102.0,03/26/2012,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,03/22/2015,5.0,Hayes Valley,"(37.776413219892866, -122.427099517756)",2012,37.776413219892866, -122.427099517756,06075016300
13074,M131159,500 Block Of Sweeny  Street,San Francisco,CA,94134.0,07/01/2013,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,06/28/2016,9.0,Portola,"(37.73103357635441, -122.41471394627706)",2013,37.73103357635441, -122.41471394627706,06075025701
13078,M162335,1200 Block Of Alemany  Boulevard,San Francisco,CA,94112.0,07/20/2016,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,09/16/2021,11.0,Outer Mission,"(37.73013943116661, -122.43226889483934)",2016,37.73013943116661, -122.43226889483934,06075025500
13082,M141799,500 Block Of Flood  Avenue,San Francisco,CA,94112.0,10/01/2014,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,09/19/2017,7.0,West of Twin Peaks,"(37.72992420949618, -122.45178899309104)",2014,37.72992420949618, -122.45178899309104,06075031100
13093,M121564,3800 Block Of 26th  Street,San Francisco,CA,94131.0,08/29/2012,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,08/21/2015,8.0,Noe Valley,"(37.74850944309004, -122.42597867792576)",2012,37.74850944309004, -122.42597867792576,06075021400
13105,M110954,200 Block Of Laussat  Street,San Francisco,CA,94117.0,09/16/2011,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,09/08/2014,5.0,Hayes Valley,"(37.77148093638551, -122.43116544860524)",2011,37.77148093638551, -122.43116544860524,06075016801
13166,M150336,1000 Block Of Sanchez  Street,San Francisco,CA,94114.0,02/17/2015,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,02/12/2018,8.0,Noe Valley,"(37.7519624381338, -122.42976400117202)",2015,37.7519624381338, -122.42976400117202,06075021100
13183,M181940,1500 Block Of 41st  Avenue,San Francisco,CA,94122.0,06/26/2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,08/19/2023,4.0,Sunset/Parkside,"(37.75786442097295, -122.50030137724585)",2018,37.75786442097295, -122.50030137724585,06075035100
13186,M181865,100 Block Of 21st  Avenue,San Francisco,CA,94121.0,06/20/2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,08/18/2023,1.0,Outer Richmond,"(37.785008443501106, -122.48072360771293)",2018,37.785008443501106, -122.48072360771293,06075042601
13191,M181711,500 Block Of Vermont  Street,San Francisco,CA,94107.0,05/30/2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,07/29/2023,10.0,Potrero Hill,"(37.76274334217881, -122.40438426497776)",2018,37.76274334217881, -122.40438426497776,06075022704
13198,M181870,0 Block Of Harvard  Street,San Francisco,CA,94134.0,06/25/2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,08/07/2023,9.0,Excelsior,"(37.728571632311485, -122.42154325224088)",2018,37.728571632311485, -122.42154325224088,06075025600
13202,M181723,800 Block Of Stanyan  Street,San Francisco,CA,94117.0,06/01/2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,07/30/2023,5.0,Haight Ashbury,"(37.7668463317979, -122.45300118169601)",2018,37.7668463317979, -122.45300118169601,06075017102
13205,M181863,1700 Block Of 36th  Avenue,San Francisco,CA,94122.0,06/19/2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,08/17/2023,4.0,Sunset/Parkside,"(37.75437238799338, -122.49468660654236)",2018,37.75437238799338, -122.49468660654236,06075032902
13217,M161834,1400 Block Of 47th  Avenue,San Francisco,CA,94122.0,05/27/2016,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,07/18/2021,4.0,Sunset/Parkside,"(37.759441794831815, -122.50700265541)",2016,37.759441794831815, -122.50700265541,06075035202
13220,M132050,0 Block Of Cortland  Avenue,San Francisco,CA,94110.0,12/13/2013,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12/09/2016,9.0,Bernal Heights,"(37.740755178383736, -122.4223226430091)",2013,37.740755178383736, -122.4223226430091,06075025401
