Id2,Geography,Percent; HOUSING OCCUPANCY - Vacant housing units,Estimate; YEAR STRUCTURE BUILT - Built 2005 or later,Estimate; YEAR STRUCTURE BUILT - Built 2000 to 2004,Estimate; YEAR STRUCTURE BUILT - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2005 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2000 to 2004,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1970 to 1979,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1969 or earlier
6075015500,"Census Tract 155, San Francisco County, California",8.1,84,88,308,389,475,294,183,87,536,1032,675,293,79,122,46
6075015600,"Census Tract 156, San Francisco County, California",7.4,0,0,39,0,73,153,165,224,673,480,214,297,84,71,83
6075015700,"Census Tract 157, San Francisco County, California",10.5,30,277,213,0,277,208,464,246,1018,952,805,294,214,104,76
6075015801,"Census Tract 158.01, San Francisco County, California",11.7,0,30,113,230,86,139,213,36,1002,671,167,474,126,181,13
6075015802,"Census Tract 158.02, San Francisco County, California",9.4,0,25,0,28,14,53,167,186,1151,532,428,293,196,0,23
6075015900,"Census Tract 159, San Francisco County, California",8,79,83,662,367,249,449,93,50,287,1010,435,383,154,89,62
6075016000,"Census Tract 160, San Francisco County, California",10.9,11,23,22,426,215,392,38,68,495,737,264,320,100,56,29
6075016100,"Census Tract 161, San Francisco County, California",11.3,11,108,464,722,717,300,133,68,406,1028,599,614,235,122,0
6075016200,"Census Tract 162, San Francisco County, California",11.9,14,77,162,68,12,78,63,150,956,721,196,287,106,71,11
6075016300,"Census Tract 163, San Francisco County, California",11.9,0,0,163,125,167,204,91,57,1358,889,335,417,97,152,18
6075016400,"Census Tract 164, San Francisco County, California",8.5,68,0,73,100,60,109,150,191,1227,1003,392,136,158,70,50
6075016500,"Census Tract 165, San Francisco County, California",12.3,33,0,103,119,104,82,95,92,1955,1212,348,485,115,30,74
6075016600,"Census Tract 166, San Francisco County, California",7,21,15,19,146,55,91,158,129,2111,1295,555,435,113,112,42
6075016700,"Census Tract 167, San Francisco County, California",11.1,0,9,126,55,78,221,67,158,1865,992,425,547,188,87,54
6075016801,"Census Tract 168.01, San Francisco County, California",5.1,0,25,25,29,17,79,155,70,1323,628,361,258,251,112,25
6075016802,"Census Tract 168.02, San Francisco County, California",14.3,17,35,91,79,15,328,74,40,1233,745,331,369,130,53,11
6075016900,"Census Tract 169, San Francisco County, California",2.9,0,12,53,9,105,141,126,62,1289,717,464,340,146,20,58
6075017000,"Census Tract 170, San Francisco County, California",9.5,0,31,30,179,124,196,285,117,1447,735,534,523,211,96,82
6075017101,"Census Tract 171.01, San Francisco County, California",11.9,0,66,12,20,117,99,55,154,1413,632,544,162,185,144,39
6075017102,"Census Tract 171.02, San Francisco County, California",6.1,0,0,22,0,42,90,76,94,1525,741,333,299,171,93,100
6075017601,"Census Tract 176.01, San Francisco County, California",19.7,240,663,646,113,142,156,364,136,1449,1653,755,593,87,49,0
6075017700,"Census Tract 177, San Francisco County, California",17.7,30,104,48,0,50,29,97,28,446,207,129,233,57,43,16
6075017801,"Census Tract 178.01, San Francisco County, California",12.2,303,348,304,821,399,44,56,12,46,988,434,442,174,10,0
6075017802,"Census Tract 178.02, San Francisco County, California",21.4,239,545,411,39,16,0,60,87,539,743,542,184,42,11,0
6075017902,"Census Tract 179.02, San Francisco County, California",31.7,12,20,46,20,249,243,206,85,74,403,167,82,0,0,0
6075018000,"Census Tract 180, San Francisco County, California",5.9,219,459,269,29,12,0,54,40,158,747,256,115,49,0,0
6075020100,"Census Tract 201, San Francisco County, California",10.6,101,463,333,114,126,83,182,261,1340,1221,823,504,93,11,33
6075020200,"Census Tract 202, San Francisco County, California",13.8,124,226,55,443,150,160,289,207,1644,1416,587,550,146,135,10
6075020300,"Census Tract 203, San Francisco County, California",12.4,74,16,53,68,136,177,65,133,1096,599,432,293,193,44,32
6075020401,"Census Tract 204.01, San Francisco County, California",16.8,0,28,21,39,113,123,239,402,875,648,249,369,132,91,41
6075020402,"Census Tract 204.02, San Francisco County, California",4.5,11,45,79,179,654,777,627,63,144,1004,443,634,188,72,122
6075020500,"Census Tract 205, San Francisco County, California",7,10,0,25,22,0,100,113,41,1123,464,268,296,161,126,18
6075020600,"Census Tract 206, San Francisco County, California",5.4,0,13,83,85,183,273,175,186,1853,923,782,619,201,129,43
6075020700,"Census Tract 207, San Francisco County, California",1.2,31,15,105,20,42,67,194,108,2348,1103,748,562,232,145,105
6075020800,"Census Tract 208, San Francisco County, California",8.1,100,170,106,0,243,322,92,76,1612,1018,925,366,129,62,0
6075020900,"Census Tract 209, San Francisco County, California",4.3,0,0,107,57,86,115,49,94,1450,723,276,630,185,33,27
6075021000,"Census Tract 210, San Francisco County, California",5.5,0,13,55,60,44,134,226,80,1581,869,469,347,198,151,39
6075021100,"Census Tract 211, San Francisco County, California",3,0,90,67,41,178,135,165,16,1433,681,412,495,239,159,75
6075021200,"Census Tract 212, San Francisco County, California",8.5,13,75,31,22,43,227,84,66,953,463,294,307,106,134,82
6075021300,"Census Tract 213, San Francisco County, California",2.3,0,31,20,30,212,69,174,58,709,470,224,277,110,144,48
6075021400,"Census Tract 214, San Francisco County, California",5.1,20,58,7,12,17,213,108,118,1268,748,278,420,131,110,42
6075021500,"Census Tract 215, San Francisco County, California",11.3,0,0,57,50,196,238,325,71,1792,1034,497,420,223,188,59
6075021600,"Census Tract 216, San Francisco County, California",5.1,13,0,47,132,892,541,173,169,398,687,603,445,253,123,133
6075021700,"Census Tract 217, San Francisco County, California",6.3,0,26,39,155,679,548,199,29,385,434,230,452,249,377,189
6075021800,"Census Tract 218, San Francisco County, California",3.7,0,101,0,85,165,95,270,105,1135,582,342,417,328,119,95
6075022600,"Census Tract 226, San Francisco County, California",3.5,10,249,193,9,11,21,43,0,212,397,172,101,28,11,13
6075022702,"Census Tract 227.02, San Francisco County, California",4.5,0,0,61,64,23,49,37,59,781,320,265,202,163,32,44
