Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
6075010100,"Census Tract 101, San Francisco County, California",3827,2018,67,15,1403,0
6075010200,"Census Tract 102, San Francisco County, California",4220,3629,21,0,359,0
6075010300,"Census Tract 103, San Francisco County, California",4346,2657,0,0,1557,0
6075010400,"Census Tract 104, San Francisco County, California",5265,3150,0,0,1511,0
6075010500,"Census Tract 105, San Francisco County, California",2606,1652,43,0,652,20
6075010600,"Census Tract 106, San Francisco County, California",3664,1164,36,0,2223,0
6075010700,"Census Tract 107, San Francisco County, California",5311,1152,151,0,3950,0
6075010800,"Census Tract 108, San Francisco County, California",4779,2239,0,9,2286,0
6075010900,"Census Tract 109, San Francisco County, California",4740,3278,60,0,1303,0
6075011000,"Census Tract 110, San Francisco County, California",5303,2584,70,0,2302,0
6075011100,"Census Tract 111, San Francisco County, California",5078,2939,171,0,1566,0
6075011200,"Census Tract 112, San Francisco County, California",3078,1686,41,1,1141,52
6075011300,"Census Tract 113, San Francisco County, California",3058,611,97,21,2244,5
6075011700,"Census Tract 117, San Francisco County, California",1547,539,114,0,690,0
6075011800,"Census Tract 118, San Francisco County, California",1740,130,2,14,1528,0
6075011901,"Census Tract 119.01, San Francisco County, California",2543,1407,164,24,763,0
6075011902,"Census Tract 119.02, San Francisco County, California",2625,1462,55,0,807,0
6075012000,"Census Tract 120, San Francisco County, California",3563,1833,359,0,957,0
6075012100,"Census Tract 121, San Francisco County, California",3876,2367,118,30,1004,0
6075012201,"Census Tract 122.01, San Francisco County, California",4576,1683,338,0,1645,0
6075012202,"Census Tract 122.02, San Francisco County, California",3079,1371,563,30,740,0
6075012301,"Census Tract 123.01, San Francisco County, California",1790,725,252,16,568,0
6075012302,"Census Tract 123.02, San Francisco County, California",2518,1115,219,16,1041,0
6075012401,"Census Tract 124.01, San Francisco County, California",4613,2110,316,17,1191,18
6075012402,"Census Tract 124.02, San Francisco County, California",3393,1534,206,0,1220,9
6075012501,"Census Tract 125.01, San Francisco County, California",3547,1124,431,67,1603,0
6075012502,"Census Tract 125.02, San Francisco County, California",4120,1004,522,86,1755,0
6075012601,"Census Tract 126.01, San Francisco County, California",2499,2172,0,0,277,0
6075012602,"Census Tract 126.02, San Francisco County, California",3101,2701,0,0,277,0
6075012700,"Census Tract 127, San Francisco County, California",3758,3160,180,0,281,15
6075012800,"Census Tract 128, San Francisco County, California",4908,3993,93,1,530,0
6075012901,"Census Tract 129.01, San Francisco County, California",2588,2068,2,11,335,0
6075012902,"Census Tract 129.02, San Francisco County, California",3444,2734,46,0,484,0
6075013000,"Census Tract 130, San Francisco County, California",4548,3900,0,15,472,0
6075013101,"Census Tract 131.01, San Francisco County, California",3791,2802,106,0,660,0
6075013102,"Census Tract 131.02, San Francisco County, California",2692,2449,1,0,199,11
6075013200,"Census Tract 132, San Francisco County, California",4695,3889,88,0,614,0
6075013300,"Census Tract 133, San Francisco County, California",4482,3526,78,0,582,0
6075013400,"Census Tract 134, San Francisco County, California",3968,3411,59,26,367,28
6075013500,"Census Tract 135, San Francisco County, California",2592,2080,43,2,366,4
6075015100,"Census Tract 151, San Francisco County, California",2106,1348,0,0,615,0
6075015200,"Census Tract 152, San Francisco County, California",3865,2680,142,0,907,0
6075015300,"Census Tract 153, San Francisco County, California",2066,1438,181,0,290,0
6075015400,"Census Tract 154, San Francisco County, California",5927,3792,220,0,1581,63
6075015500,"Census Tract 155, San Francisco County, California",3918,2257,230,0,1213,0
6075015600,"Census Tract 156, San Francisco County, California",3015,1698,73,0,1005,0
6075015700,"Census Tract 157, San Francisco County, California",8373,4894,522,0,2180,89
6075015801,"Census Tract 158.01, San Francisco County, California",3738,1800,1120,0,568,0
6075015802,"Census Tract 158.02, San Francisco County, California",2837,1980,230,22,352,0
6075015900,"Census Tract 159, San Francisco County, California",4081,1674,600,3,1516,0
