,Geoid,num Evictions,geoid_year,Total Population,Total Housing Units,Total; Estimate; Average household size,Year,Median Year Structure Built,Median Year Moved In,Percent with Bachelor's degree,Median rent burden,Evictions per units,Percent Black,Percent White,Percent Asian,Percent Native,"Percent H, PI"
0,6075010100,2,60750101002011,3851.0,2278.0,1.75,2011,1971.0,2005.0,34.0,28.4,0.000877963125548727,0.08984679304076863,0.43780836146455465,0.391326928070631,0.002856400934822124,0.0
1,6075010200,1,60750102002012,4040.0,2946.0,1.51,2012,1939.0,2005.0,42.1,22.5,0.00033944331296673454,0.011138613861386138,0.8242574257425742,0.08762376237623762,0.0,0.0
2,6075010200,1,60750102002017,4668.5488,2044.1584,2.5049920000000006,2017,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
3,6075010300,2,60750103002012,4393.0,2254.0,2.26,2012,1939.0,2005.0,31.1,24.3,0.0008873114463176575,0.0,0.6485317550648759,0.3514682449351241,0.0,0.0
4,6075010300,2,60750103002013,4729.0,2303.0,2.29,2013,1939.0,2007.0,31.3,26.1,0.0008684324793747286,0.0,0.5772890674561219,0.4019877352505815,0.0,0.0
5,6075010300,3,60750103002014,4346.0,2317.0,2.15,2014,1939.0,2008.0,5.8,25.4,0.001294777729823047,0.0,0.611366774045099,0.3582604693971468,0.0,0.0
6,6075010300,4,60750103002015,4387.0,2395.0,2.16,2015,1939.0,2009.0,1155.0,24.2,0.0016701461377870565,0.0,0.567358103487577,0.3875085479826761,0.0,0.0
7,6075010300,1,60750103002016,4341.0,2378.0,2.13,2016,1939.0,2010.0,1232.0,22.6,0.00042052144659377626,0.0,0.6157567380787837,0.33494586500806267,0.0,0.0
8,6075010300,1,60750103002017,4668.5488,2044.1584,2.5049920000000006,2017,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
9,6075010300,2,60750103002018,4668.5488,2044.1584,2.5049920000000006,2018,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
10,6075010400,4,60750104002011,4531.0,2952.0,1.83,2011,1939.0,2004.0,38.1,20.6,0.0013550135501355014,0.00022070183182520416,0.6824100640035312,0.267049216508497,0.0,0.0
11,6075010400,3,60750104002012,4749.0,2889.0,1.94,2012,1939.0,2005.0,35.4,23.6,0.0010384215991692627,0.0002105706464518846,0.6445567487892188,0.2891134975784376,0.0,0.0
12,6075010400,4,60750104002013,5103.0,2875.0,1.98,2013,1939.0,2007.0,38.3,24.3,0.001391304347826087,0.0001959631589261219,0.6068979031941995,0.28708602782676856,0.0,0.0
13,6075010400,4,60750104002015,5148.0,2805.0,2.01,2015,1939.0,2008.0,1732.0,24.6,0.00142602495543672,0.0,0.6085858585858586,0.27758352758352756,0.0,0.0
14,6075010400,5,60750104002016,5028.0,2844.0,2.0,2016,1939.0,2008.0,1611.0,24.8,0.0017580872011251757,0.0,0.6187350835322196,0.28102625298329353,0.000994431185361973,0.0
15,6075010400,2,60750104002017,4668.5488,2044.1584,2.5049920000000006,2017,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
16,6075010400,4,60750104002018,4668.5488,2044.1584,2.5049920000000006,2018,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
17,6075010600,1,60750106002013,3607.0,2145.0,1.99,2013,1939.0,2004.0,27.6,34.9,0.0004662004662004662,0.02162461879678403,0.3368450235652897,0.5550318824507902,0.0,0.0
18,6075010600,1,60750106002014,3664.0,2116.0,1.99,2014,1939.0,2005.0,6.2,33.9,0.0004725897920604915,0.009825327510917031,0.31768558951965065,0.6067139737991266,0.0,0.0
19,6075010600,3,60750106002015,3604.0,2098.0,1.93,2015,1939.0,2008.0,844.0,27.8,0.0014299332697807435,0.017758046614872364,0.34517203107658156,0.5862930077691454,0.0,0.0
20,6075010600,1,60750106002016,3567.0,2097.0,1.97,2016,1939.0,2010.0,819.0,27.5,0.0004768717215069146,0.016260162601626018,0.35323801513877207,0.6027474067844126,0.0,0.0
21,6075010600,1,60750106002017,4668.5488,2044.1584,2.5049920000000006,2017,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
22,6075010700,1,60750107002012,5555.0,2927.0,2.08,2012,1939.0,2003.0,20.3,32.7,0.00034164673727365904,0.029162916291629162,0.17839783978397838,0.7722772277227723,0.0018001800180018,0.0
23,6075010700,1,60750107002015,5302.0,2750.0,2.19,2015,1939.0,2007.0,905.0,33.7,0.0003636363636363636,0.0,0.23500565824217276,0.7540550735571483,0.0,0.0
24,6075010800,1,60750108002011,4819.0,2800.0,1.96,2011,1939.0,2003.0,44.4,22.4,0.00035714285714285714,0.014525835235526042,0.4818427059555924,0.4689769661755551,0.0035277028429134675,0.0
25,6075010800,1,60750108002012,4811.0,2785.0,1.95,2012,1939.0,2002.0,42.2,24.9,0.0003590664272890485,0.015381417584701726,0.47183537726044483,0.48929536478902513,0.0047807108709208065,0.0
26,6075010800,1,60750108002013,4925.0,2786.0,1.96,2013,1939.0,2004.0,51.1,26.3,0.0003589375448671931,0.003045685279187817,0.476751269035533,0.48304568527918784,0.0018274111675126903,0.0
27,6075010800,3,60750108002014,4779.0,2755.0,1.95,2014,1939.0,2005.0,6.2,22.6,0.001088929219600726,0.0,0.46850805607867757,0.4783427495291902,0.0018832391713747645,0.0
