Id2,Geography,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2010 or later,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2000 to 2009,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1970 to 1979,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1969 or earlier
6075015300,"Census Tract 153, San Francisco County, California",7.3,12,29,7,37,21,49,16,15,837,398,312,116,75,38,9
6075015400,"Census Tract 154, San Francisco County, California",3.6,0,15,46,171,377,189,366,193,1690,1093,1038,402,218,117,69
6075015500,"Census Tract 155, San Francisco County, California",5.7,0,105,239,368,506,433,141,92,539,920,915,319,82,41,9
6075015600,"Census Tract 156, San Francisco County, California",9.8,81,0,26,46,134,248,135,185,599,488,477,185,96,58,8
6075015700,"Census Tract 157, San Francisco County, California",5.1,21,219,72,53,250,298,318,422,1166,842,1081,413,129,140,71
6075015801,"Census Tract 158.01, San Francisco County, California",3.9,38,67,177,146,222,198,128,37,745,445,709,329,150,57,0
6075015802,"Census Tract 158.02, San Francisco County, California",10.2,0,62,43,91,44,122,95,15,1200,498,571,341,80,0,11
6075015900,"Census Tract 159, San Francisco County, California",9.1,0,193,600,341,309,524,111,22,253,576,991,380,71,93,29
6075016000,"Census Tract 160, San Francisco County, California",10,20,195,123,494,256,358,24,55,292,595,688,230,74,49,0
6075016100,"Census Tract 161, San Francisco County, California",4.8,0,200,327,532,546,463,313,131,319,782,1077,456,196,184,0
6075016200,"Census Tract 162, San Francisco County, California",9,27,241,128,123,84,84,109,157,766,648,597,166,125,29,0
