Id2,Geography,Percent; HOUSING OCCUPANCY - Vacant housing units,Estimate; YEAR STRUCTURE BUILT - Built 2005 or later,Estimate; YEAR STRUCTURE BUILT - Built 2000 to 2004,Estimate; YEAR STRUCTURE BUILT - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2005 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2000 to 2004,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1970 to 1979,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1969 or earlier
6075010100,"Census Tract 101, San Francisco County, California",3.2,136,213,104,382,344,560,141,34,364,1310,367,274,166,87,0
6075010200,"Census Tract 102, San Francisco County, California",10.9,12,26,113,83,190,236,325,132,1862,1302,485,405,149,242,70
6075010300,"Census Tract 103, San Francisco County, California",13.6,0,81,26,32,61,131,162,64,1703,969,224,401,122,84,152
6075010400,"Census Tract 104, San Francisco County, California",16.1,0,30,327,167,168,219,147,202,1692,901,607,386,255,262,66
6075010500,"Census Tract 105, San Francisco County, California",19.1,43,39,18,341,704,674,56,8,57,872,251,230,134,37,46
6075010600,"Census Tract 106, San Francisco County, California",17.3,0,0,15,14,194,168,128,65,1660,899,380,254,146,82,95
6075010700,"Census Tract 107, San Francisco County, California",9,0,0,11,104,174,299,264,15,2118,1363,377,509,274,48,145
6075010800,"Census Tract 108, San Francisco County, California",12.2,0,12,138,66,213,276,117,170,1808,919,559,513,128,196,143
6075010900,"Census Tract 109, San Francisco County, California",10.7,25,31,41,196,69,95,53,137,2285,1358,500,345,99,192,123
6075011000,"Census Tract 110, San Francisco County, California",5,8,89,10,107,266,136,177,192,1726,1297,342,386,334,68,149
6075011100,"Census Tract 111, San Francisco County, California",10.1,74,55,119,153,123,105,230,309,2020,1518,457,467,184,132,107
6075011200,"Census Tract 112, San Francisco County, California",30.9,22,40,64,36,66,432,161,53,1539,728,327,212,128,176,96
6075011300,"Census Tract 113, San Francisco County, California",4.4,8,0,33,120,38,70,64,42,1293,649,145,432,116,175,78
6075011700,"Census Tract 117, San Francisco County, California",28.6,13,0,9,141,70,68,18,5,962,495,197,113,83,30,0
6075011800,"Census Tract 118, San Francisco County, California",5.8,0,9,0,18,3,0,96,72,545,278,56,266,62,18,20
6075011901,"Census Tract 119.01, San Francisco County, California",20.4,13,0,18,168,306,251,0,67,1017,668,259,295,129,87,27
6075011902,"Census Tract 119.02, San Francisco County, California",20.8,0,0,0,26,23,61,65,127,1702,811,339,244,92,73,28
6075012000,"Census Tract 120, San Francisco County, California",13.3,57,58,47,44,112,87,150,0,2210,1398,397,447,58,97,0
6075012100,"Census Tract 121, San Francisco County, California",13.7,13,0,15,17,42,14,92,107,2067,1189,302,327,60,165,0
6075012201,"Census Tract 122.01, San Francisco County, California",10.3,0,0,0,0,32,55,89,110,2595,1288,475,608,173,40,0
6075012202,"Census Tract 122.02, San Francisco County, California",3.7,132,0,65,100,34,52,124,28,1071,901,284,210,151,0,0
6075012301,"Census Tract 123.01, San Francisco County, California",29.7,0,33,37,76,109,15,137,155,1298,778,187,207,86,39,10
6075012302,"Census Tract 123.02, San Francisco County, California",32.8,71,10,106,142,83,20,93,80,1876,1187,91,226,104,27,31
6075012401,"Census Tract 124.01, San Francisco County, California",20.9,0,60,142,53,251,121,51,134,1978,1066,526,489,101,13,11
6075012402,"Census Tract 124.02, San Francisco County, California",16.7,161,99,146,111,107,281,53,189,1116,1254,305,214,79,34,0
6075012501,"Census Tract 125.01, San Francisco County, California",19.6,77,44,174,221,119,80,80,208,1511,1150,231,602,39,0,0
6075012502,"Census Tract 125.02, San Francisco County, California",11.7,168,84,183,8,69,25,67,143,1750,1231,561,281,14,69,48
6075012601,"Census Tract 126.01, San Francisco County, California",15.3,0,14,28,11,49,163,59,89,1263,865,126,163,109,61,95
6075012602,"Census Tract 126.02, San Francisco County, California",15.7,36,0,87,86,209,175,120,213,1019,877,253,297,74,88,50
6075012700,"Census Tract 127, San Francisco County, California",11.1,14,0,202,83,137,30,147,112,1532,1151,352,262,149,37,56
6075012800,"Census Tract 128, San Francisco County, California",14.6,0,13,127,34,52,228,336,197,1625,990,405,350,135,229,121
6075012901,"Census Tract 129.01, San Francisco County, California",11.8,46,33,0,126,44,103,165,130,1075,923,328,136,39,84,9
6075012902,"Census Tract 129.02, San Francisco County, California",6,105,150,15,113,146,213,294,189,970,1245,327,137,183,126,46
6075013000,"Census Tract 130, San Francisco County, California",13.7,0,0,25,145,225,183,318,79,1737,1371,487,122,173,138,49
6075013101,"Census Tract 131.01, San Francisco County, California",7.6,0,158,34,93,227,363,140,139,1452,1500,372,177,193,151,14
6075013102,"Census Tract 131.02, San Francisco County, California",12.1,0,0,19,103,126,180,237,49,1082,670,358,290,117,122,22
6075013200,"Census Tract 132, San Francisco County, California",9.7,57,0,28,90,208,181,162,110,1812,1053,406,355,187,330,61
6075013300,"Census Tract 133, San Francisco County, California",11.9,0,47,17,89,73,72,108,84,1621,688,299,422,199,135,117
6075013400,"Census Tract 134, San Francisco County, California",17.9,0,33,0,15,174,187,91,141,1602,800,527,207,137,126,44
6075013500,"Census Tract 135, San Francisco County, California",6.7,0,0,8,36,91,380,75,90,1190,1072,199,194,120,149,10
6075015100,"Census Tract 151, San Francisco County, California",14.8,12,10,568,269,195,137,48,66,517,729,225,497,71,12,19
6075015200,"Census Tract 152, San Francisco County, California",10,0,34,276,163,418,152,191,114,1246,1126,527,381,144,42,115
6075015300,"Census Tract 153, San Francisco County, California",8.4,10,0,16,0,25,58,20,58,850,468,160,191,90,21,20
6075015400,"Census Tract 154, San Francisco County, California",5.4,0,0,82,48,267,133,407,372,1761,1173,595,434,386,205,111
6075015500,"Census Tract 155, San Francisco County, California",4.9,55,42,222,541,459,310,229,114,551,1265,647,282,61,110,34
6075015600,"Census Tract 156, San Francisco County, California",6.3,0,0,54,0,112,133,178,206,647,555,207,249,102,90,43
6075015700,"Census Tract 157, San Francisco County, California",8.9,40,277,151,12,262,193,473,360,938,1195,527,393,142,112,96
6075015801,"Census Tract 158.01, San Francisco County, California",14.8,0,13,133,357,78,133,229,24,882,685,205,355,169,146,15
6075015802,"Census Tract 158.02, San Francisco County, California",15.5,21,33,0,22,0,161,197,124,1061,640,230,358,102,0,38
6075015900,"Census Tract 159, San Francisco County, California",5.8,81,84,644,399,261,429,82,45,294,1109,447,369,103,114,43
6075016000,"Census Tract 160, San Francisco County, California",9.9,61,31,142,447,194,357,28,75,387,876,225,270,108,60,12
6075016100,"Census Tract 161, San Francisco County, California",10.5,14,171,388,758,509,321,242,117,417,1097,655,589,180,108,0
6075016200,"Census Tract 162, San Francisco County, California",9.8,16,63,146,77,51,64,77,124,968,816,163,253,116,68,14
6075016300,"Census Tract 163, San Francisco County, California",9.9,0,0,246,85,141,189,93,55,1374,983,300,437,92,132,23
6075016400,"Census Tract 164, San Francisco County, California",3.9,53,5,57,63,50,60,145,223,1328,1165,289,191,109,100,53
6075016500,"Census Tract 165, San Francisco County, California",7.4,26,15,67,126,161,97,67,87,1899,1431,279,410,146,47,43
6075016600,"Census Tract 166, San Francisco County, California",7.9,25,19,21,145,46,105,74,141,2127,1302,474,431,123,111,48
6075016700,"Census Tract 167, San Francisco County, California",10,18,5,150,59,75,195,74,163,1824,1224,346,407,187,85,57
6075016801,"Census Tract 168.01, San Francisco County, California",6,0,15,30,25,35,84,174,96,1286,771,337,211,164,130,27
6075016802,"Census Tract 168.02, San Francisco County, California",19.3,32,29,101,67,46,282,58,74,1256,792,258,383,88,32,16
6075016900,"Census Tract 169, San Francisco County, California",5.5,0,14,54,48,116,125,78,97,1264,740,381,382,113,24,58
6075017000,"Census Tract 170, San Francisco County, California",10.8,0,16,30,155,257,210,227,125,1352,860,511,457,125,103,60
6075017101,"Census Tract 171.01, San Francisco County, California",9.7,0,68,17,23,62,118,77,143,1426,810,477,114,182,110,53
6075017102,"Census Tract 171.02, San Francisco County, California",6.4,0,18,19,0,45,91,97,115,1466,805,297,233,169,116,113
