Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
6075021100,"Census Tract 211, San Francisco County, California",3992,3432,77,0,330,0
6075021200,"Census Tract 212, San Francisco County, California",2837,2456,12,11,202,0
6075021300,"Census Tract 213, San Francisco County, California",2510,2182,0,9,174,0
6075021400,"Census Tract 214, San Francisco County, California",3519,2780,16,15,392,0
6075021500,"Census Tract 215, San Francisco County, California",5626,4325,137,0,665,13
6075021600,"Census Tract 216, San Francisco County, California",3919,2496,557,0,688,20
6075021700,"Census Tract 217, San Francisco County, California",3713,2149,207,8,823,0
6075021800,"Census Tract 218, San Francisco County, California",4189,3212,55,14,466,0
6075022600,"Census Tract 226, San Francisco County, California",1599,1049,154,40,301,0
6075022702,"Census Tract 227.02, San Francisco County, California",2167,1693,35,0,312,0
6075022704,"Census Tract 227.04, San Francisco County, California",3095,2294,36,11,517,0
6075022801,"Census Tract 228.01, San Francisco County, California",4468,3164,195,0,506,11
6075022802,"Census Tract 228.02, San Francisco County, California",2072,1415,103,20,320,0
6075022803,"Census Tract 228.03, San Francisco County, California",4876,3278,131,27,506,0
6075022901,"Census Tract 229.01, San Francisco County, California",4497,2910,310,34,382,0
6075022902,"Census Tract 229.02, San Francisco County, California",2507,1635,301,0,171,0
6075022903,"Census Tract 229.03, San Francisco County, California",2985,1929,73,54,394,0
6075023001,"Census Tract 230.01, San Francisco County, California",5247,995,1150,20,2884,0
6075023003,"Census Tract 230.03, San Francisco County, California",3947,737,1354,25,1391,0
6075023102,"Census Tract 231.02, San Francisco County, California",3674,717,2317,0,372,72
6075023103,"Census Tract 231.03, San Francisco County, California",3766,288,2573,25,71,357
6075023200,"Census Tract 232, San Francisco County, California",4397,1286,2057,169,515,0
6075023300,"Census Tract 233, San Francisco County, California",3132,373,433,0,1952,0
6075023400,"Census Tract 234, San Francisco County, California",3754,1019,745,39,766,53
6075025100,"Census Tract 251, San Francisco County, California",3198,2186,171,0,613,0
6075025200,"Census Tract 252, San Francisco County, California",5766,4030,312,24,604,30
6075025300,"Census Tract 253, San Francisco County, California",4812,3284,294,20,541,0
6075025401,"Census Tract 254.01, San Francisco County, California",3510,2236,279,18,437,13
6075025402,"Census Tract 254.02, San Francisco County, California",3108,1750,82,0,845,121
6075025403,"Census Tract 254.03, San Francisco County, California",5385,2703,224,22,1637,0
6075025500,"Census Tract 255, San Francisco County, California",8731,3862,75,58,3214,0
6075025600,"Census Tract 256, San Francisco County, California",5719,1697,76,9,3233,21
6075025701,"Census Tract 257.01, San Francisco County, California",4442,1348,86,42,2701,5
6075025702,"Census Tract 257.02, San Francisco County, California",3889,1223,85,0,2278,0
6075025800,"Census Tract 258, San Francisco County, California",2044,432,133,7,1241,0
6075025900,"Census Tract 259, San Francisco County, California",4248,1156,572,0,1877,0
6075026001,"Census Tract 260.01, San Francisco County, California",5734,1944,141,61,2301,77
6075026002,"Census Tract 260.02, San Francisco County, California",3747,1609,92,5,1052,0
6075026003,"Census Tract 260.03, San Francisco County, California",4506,2188,31,35,1293,3
6075026004,"Census Tract 260.04, San Francisco County, California",4454,1356,82,0,2358,0
6075026100,"Census Tract 261, San Francisco County, California",6567,2076,84,0,3707,26
6075026200,"Census Tract 262, San Francisco County, California",7306,1823,125,17,4435,0
6075026301,"Census Tract 263.01, San Francisco County, California",4488,1020,55,1,2864,22
6075026302,"Census Tract 263.02, San Francisco County, California",4754,1150,301,99,2760,67
6075026303,"Census Tract 263.03, San Francisco County, California",5623,1133,220,11,3061,240
6075026401,"Census Tract 264.01, San Francisco County, California",4107,415,618,0,2753,7
