Id2,Geography,Total; Estimate; Bachelor's degree
6075010100,"Census Tract 101, San Francisco County, California",32.3
6075010200,"Census Tract 102, San Francisco County, California",42.1
6075010300,"Census Tract 103, San Francisco County, California",31.1
6075010400,"Census Tract 104, San Francisco County, California",35.4
6075010500,"Census Tract 105, San Francisco County, California",38.7
6075010600,"Census Tract 106, San Francisco County, California",30
6075010700,"Census Tract 107, San Francisco County, California",20.3
6075010800,"Census Tract 108, San Francisco County, California",42.2
6075010900,"Census Tract 109, San Francisco County, California",48.2
6075011000,"Census Tract 110, San Francisco County, California",33.9
6075011100,"Census Tract 111, San Francisco County, California",41.2
6075011200,"Census Tract 112, San Francisco County, California",41
6075011300,"Census Tract 113, San Francisco County, California",19.4
6075011700,"Census Tract 117, San Francisco County, California",26
6075011800,"Census Tract 118, San Francisco County, California",9.3
6075011901,"Census Tract 119.01, San Francisco County, California",42.9
6075011902,"Census Tract 119.02, San Francisco County, California",32.8
6075012000,"Census Tract 120, San Francisco County, California",36.1
6075012100,"Census Tract 121, San Francisco County, California",39.8
6075012201,"Census Tract 122.01, San Francisco County, California",23.2
6075012202,"Census Tract 122.02, San Francisco County, California",28.3
6075012301,"Census Tract 123.01, San Francisco County, California",19.1
6075012302,"Census Tract 123.02, San Francisco County, California",26.5
6075012401,"Census Tract 124.01, San Francisco County, California",8.1
6075012402,"Census Tract 124.02, San Francisco County, California",24.6
6075012501,"Census Tract 125.01, San Francisco County, California",16.3
6075012502,"Census Tract 125.02, San Francisco County, California",8.4
6075012601,"Census Tract 126.01, San Francisco County, California",51
6075012602,"Census Tract 126.02, San Francisco County, California",49.8
6075012700,"Census Tract 127, San Francisco County, California",51.3
6075012800,"Census Tract 128, San Francisco County, California",48.9
6075012901,"Census Tract 129.01, San Francisco County, California",48.2
6075012902,"Census Tract 129.02, San Francisco County, California",48.9
6075013000,"Census Tract 130, San Francisco County, California",53.1
6075013101,"Census Tract 131.01, San Francisco County, California",54.8
6075013102,"Census Tract 131.02, San Francisco County, California",44.1
6075013200,"Census Tract 132, San Francisco County, California",42.3
6075013300,"Census Tract 133, San Francisco County, California",41.3
