Id2,Geography,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2014 or later,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2010 to 2013,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2000 to 2009,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 to 2014,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier
6075015400,"Census Tract 154, San Francisco County, California",0,0,31,15,149,361,145,445,317,1703,148,1340,829,280,214,130
6075015500,"Census Tract 155, San Francisco County, California",0,0,135,272,286,492,559,72,43,636,222,1019,645,273,92,29
6075015600,"Census Tract 156, San Francisco County, California",0,181,18,46,91,132,199,130,186,592,80,720,357,155,74,76
6075015700,"Census Tract 157, San Francisco County, California",0,27,251,21,115,226,368,414,249,1160,81,1264,715,300,146,171
6075015801,"Census Tract 158.01, San Francisco County, California",9,33,81,216,238,287,242,46,30,591,57,586,501,305,141,137
6075015802,"Census Tract 158.02, San Francisco County, California",0,8,87,53,112,60,87,43,30,1204,45,748,413,235,104,19
6075015900,"Census Tract 159, San Francisco County, California",0,0,244,553,354,379,552,100,19,251,123,848,751,274,52,68
6075016000,"Census Tract 160, San Francisco County, California",0,80,226,0,730,177,387,29,42,264,117,806,510,234,42,28
6075016100,"Census Tract 161, San Francisco County, California",0,0,250,375,462,713,455,84,138,377,56,873,783,532,153,205
6075016200,"Census Tract 162, San Francisco County, California",35,59,290,118,68,101,83,93,158,876,125,864,482,172,106,35
6075016300,"Census Tract 163, San Francisco County, California",0,0,27,88,34,104,180,133,138,1472,75,671,614,502,111,64
6075016400,"Census Tract 164, San Francisco County, California",0,12,59,18,151,83,41,126,83,1378,93,761,570,251,84,115
6075016500,"Census Tract 165, San Francisco County, California",0,0,15,48,35,246,146,124,52,1861,137,920,756,249,100,221
6075016600,"Census Tract 166, San Francisco County, California",0,36,0,94,49,64,67,186,109,2086,146,1111,652,323,203,59
6075016700,"Census Tract 167, San Francisco County, California",0,0,18,83,127,57,151,16,137,1949,141,1072,608,290,218,93
6075016801,"Census Tract 168.01, San Francisco County, California",38,0,138,45,81,52,77,118,61,1173,114,490,620,246,96,36
6075016802,"Census Tract 168.02, San Francisco County, California",16,65,263,105,64,84,115,117,53,1166,84,591,699,226,120,74
6075016900,"Census Tract 169, San Francisco County, California",0,0,0,32,39,136,99,75,107,1284,59,532,463,270,139,69
6075017000,"Census Tract 170, San Francisco County, California",0,0,20,71,149,234,207,317,92,1265,127,711,634,289,231,173
6075017101,"Census Tract 171.01, San Francisco County, California",0,0,41,15,16,127,127,118,73,1453,64,719,424,254,164,151
6075017102,"Census Tract 171.02, San Francisco County, California",0,10,22,0,0,46,45,54,146,1506,25,757,508,160,144,77
6075017601,"Census Tract 176.01, San Francisco County, California",218,436,1601,716,65,266,112,154,127,1835,607,1777,1840,206,0,0
6075017700,"Census Tract 177, San Francisco County, California",0,0,81,78,18,21,30,50,75,460,33,281,272,91,26,55
6075017801,"Census Tract 178.01, San Francisco County, California",0,25,600,357,737,612,129,21,18,24,126,753,1093,133,137,0
6075017802,"Census Tract 178.02, San Francisco County, California",59,22,841,391,151,151,147,82,47,667,93,1028,721,292,103,49
6075017902,"Census Tract 179.02, San Francisco County, California",0,5,20,29,98,123,89,148,131,126,5,282,308,7,0,0
6075018000,"Census Tract 180, San Francisco County, California",0,44,679,277,37,10,39,22,9,379,87,667,423,86,51,0
6075020100,"Census Tract 201, San Francisco County, California",12,177,395,323,120,93,145,321,69,1826,204,1291,1169,376,49,26
6075020200,"Census Tract 202, San Francisco County, California",0,0,274,128,249,150,297,235,138,1954,118,1336,974,475,193,93
6075020300,"Census Tract 203, San Francisco County, California",10,21,72,73,71,103,148,122,83,1164,62,585,559,323,108,101
