Id2,Geography,Total; Estimate; Bachelor's degree
6075010100,"Census Tract 101, San Francisco County, California",834
6075010200,"Census Tract 102, San Francisco County, California",1681
6075010300,"Census Tract 103, San Francisco County, California",1155
6075010400,"Census Tract 104, San Francisco County, California",1732
6075010500,"Census Tract 105, San Francisco County, California",826
6075010600,"Census Tract 106, San Francisco County, California",844
6075010700,"Census Tract 107, San Francisco County, California",905
6075010800,"Census Tract 108, San Francisco County, California",1960
6075010900,"Census Tract 109, San Francisco County, California",2046
6075011000,"Census Tract 110, San Francisco County, California",1857
6075011100,"Census Tract 111, San Francisco County, California",1728
6075011200,"Census Tract 112, San Francisco County, California",1252
6075011300,"Census Tract 113, San Francisco County, California",503
6075011700,"Census Tract 117, San Francisco County, California",368
6075011800,"Census Tract 118, San Francisco County, California",201
6075011901,"Census Tract 119.01, San Francisco County, California",862
6075011902,"Census Tract 119.02, San Francisco County, California",840
6075012000,"Census Tract 120, San Francisco County, California",1063
6075012100,"Census Tract 121, San Francisco County, California",994
6075012201,"Census Tract 122.01, San Francisco County, California",1133
6075012202,"Census Tract 122.02, San Francisco County, California",809
6075012301,"Census Tract 123.01, San Francisco County, California",308
6075012302,"Census Tract 123.02, San Francisco County, California",735
6075012401,"Census Tract 124.01, San Francisco County, California",671
6075012402,"Census Tract 124.02, San Francisco County, California",964
6075012501,"Census Tract 125.01, San Francisco County, California",509
6075012502,"Census Tract 125.02, San Francisco County, California",266
6075012601,"Census Tract 126.01, San Francisco County, California",1151
6075012602,"Census Tract 126.02, San Francisco County, California",1149
6075012700,"Census Tract 127, San Francisco County, California",1658
6075012800,"Census Tract 128, San Francisco County, California",1889
6075012901,"Census Tract 129.01, San Francisco County, California",1355
6075012902,"Census Tract 129.02, San Francisco County, California",1546
6075013000,"Census Tract 130, San Francisco County, California",2381
6075013101,"Census Tract 131.01, San Francisco County, California",1671
6075013102,"Census Tract 131.02, San Francisco County, California",1262
6075013200,"Census Tract 132, San Francisco County, California",1853
6075013300,"Census Tract 133, San Francisco County, California",1252
