Id2,Geography,Estimate; Total
6075010100,"Census Tract 101, San Francisco County, California",2278
6075010200,"Census Tract 102, San Francisco County, California",2979
6075010300,"Census Tract 103, San Francisco County, California",2260
6075010400,"Census Tract 104, San Francisco County, California",2952
6075010500,"Census Tract 105, San Francisco County, California",1940
6075010600,"Census Tract 106, San Francisco County, California",2244
6075010700,"Census Tract 107, San Francisco County, California",2985
6075010800,"Census Tract 108, San Francisco County, California",2800
6075010900,"Census Tract 109, San Francisco County, California",2932
6075011000,"Census Tract 110, San Francisco County, California",2711
6075011100,"Census Tract 111, San Francisco County, California",3188
6075011200,"Census Tract 112, San Francisco County, California",2413
6075011300,"Census Tract 113, San Francisco County, California",1668
6075011700,"Census Tract 117, San Francisco County, California",1286
6075011800,"Census Tract 118, San Francisco County, California",743
6075011901,"Census Tract 119.01, San Francisco County, California",1840
6075011902,"Census Tract 119.02, San Francisco County, California",2004
6075012000,"Census Tract 120, San Francisco County, California",2765
6075012100,"Census Tract 121, San Francisco County, California",2367
6075012201,"Census Tract 122.01, San Francisco County, California",2881
6075012202,"Census Tract 122.02, San Francisco County, California",1606
6075012301,"Census Tract 123.01, San Francisco County, California",1860
6075012302,"Census Tract 123.02, San Francisco County, California",2481
6075012401,"Census Tract 124.01, San Francisco County, California",2790
6075012402,"Census Tract 124.02, San Francisco County, California",2263
6075012501,"Census Tract 125.01, San Francisco County, California",2514
6075012502,"Census Tract 125.02, San Francisco County, California",2497
6075012601,"Census Tract 126.01, San Francisco County, California",1676
6075012602,"Census Tract 126.02, San Francisco County, California",1945
6075012700,"Census Tract 127, San Francisco County, California",2257
6075012800,"Census Tract 128, San Francisco County, California",2612
6075012901,"Census Tract 129.01, San Francisco County, California",1722
6075012902,"Census Tract 129.02, San Francisco County, California",2195
6075013000,"Census Tract 130, San Francisco County, California",2712
6075013101,"Census Tract 131.01, San Francisco County, California",2606
6075013102,"Census Tract 131.02, San Francisco County, California",1796
6075013200,"Census Tract 132, San Francisco County, California",2648
6075013300,"Census Tract 133, San Francisco County, California",2111
6075013400,"Census Tract 134, San Francisco County, California",2243
6075013500,"Census Tract 135, San Francisco County, California",1870
6075015100,"Census Tract 151, San Francisco County, California",1822
6075015200,"Census Tract 152, San Francisco County, California",2594
6075015300,"Census Tract 153, San Francisco County, California",1037
6075015400,"Census Tract 154, San Francisco County, California",3070
6075015500,"Census Tract 155, San Francisco County, California",2523
6075015600,"Census Tract 156, San Francisco County, California",1330
6075015700,"Census Tract 157, San Francisco County, California",2706
6075015801,"Census Tract 158.01, San Francisco County, California",1849
6075015802,"Census Tract 158.02, San Francisco County, California",1619
6075015900,"Census Tract 159, San Francisco County, California",2319
6075016000,"Census Tract 160, San Francisco County, California",1722
6075016100,"Census Tract 161, San Francisco County, California",2937
6075016200,"Census Tract 162, San Francisco County, California",1586
6075016300,"Census Tract 163, San Francisco County, California",2183
6075016400,"Census Tract 164, San Francisco County, California",1984
6075016500,"Census Tract 165, San Francisco County, California",2545
6075016600,"Census Tract 166, San Francisco County, California",2703
6075016700,"Census Tract 167, San Francisco County, California",2563
6075016801,"Census Tract 168.01, San Francisco County, California",1745
6075016802,"Census Tract 168.02, San Francisco County, California",1945
6075016900,"Census Tract 169, San Francisco County, California",1796
6075017000,"Census Tract 170, San Francisco County, California",2372
6075017101,"Census Tract 171.01, San Francisco County, California",1934
6075017102,"Census Tract 171.02, San Francisco County, California",1851
6075017601,"Census Tract 176.01, San Francisco County, California",4253
6075017700,"Census Tract 177, San Francisco County, California",811
6075017801,"Census Tract 178.01, San Francisco County, California",2449
6075017802,"Census Tract 178.02, San Francisco County, California",2011
6075017902,"Census Tract 179.02, San Francisco County, California",932
6075018000,"Census Tract 180, San Francisco County, California",1385
6075020100,"Census Tract 201, San Francisco County, California",3003
6075020200,"Census Tract 202, San Francisco County, California",3446
6075020300,"Census Tract 203, San Francisco County, California",1828
6075020401,"Census Tract 204.01, San Francisco County, California",1826
6075020402,"Census Tract 204.02, San Francisco County, California",2619
6075020500,"Census Tract 205, San Francisco County, California",1436
6075020600,"Census Tract 206, San Francisco County, California",2873
6075020700,"Census Tract 207, San Francisco County, California",2859
6075020800,"Census Tract 208, San Francisco County, California",2709
6075020900,"Census Tract 209, San Francisco County, California",1932
6075021000,"Census Tract 210, San Francisco County, California",2236
6075021100,"Census Tract 211, San Francisco County, California",2000
6075021200,"Census Tract 212, San Francisco County, California",1573
6075021300,"Census Tract 213, San Francisco County, California",1297
6075021400,"Census Tract 214, San Francisco County, California",1810
6075021500,"Census Tract 215, San Francisco County, California",2730
6075021600,"Census Tract 216, San Francisco County, California",2358
6075021700,"Census Tract 217, San Francisco County, California",2062
6075021800,"Census Tract 218, San Francisco County, California",1948
6075022600,"Census Tract 226, San Francisco County, California",812
6075022702,"Census Tract 227.02, San Francisco County, California",1069
6075022704,"Census Tract 227.04, San Francisco County, California",1648
6075022801,"Census Tract 228.01, San Francisco County, California",1772
6075022802,"Census Tract 228.02, San Francisco County, California",662
6075022803,"Census Tract 228.03, San Francisco County, California",1665
6075022901,"Census Tract 229.01, San Francisco County, California",1530
6075022902,"Census Tract 229.02, San Francisco County, California",886
6075022903,"Census Tract 229.03, San Francisco County, California",1145
6075023001,"Census Tract 230.01, San Francisco County, California",1446
6075023003,"Census Tract 230.03, San Francisco County, California",1194
6075023102,"Census Tract 231.02, San Francisco County, California",1371
6075023103,"Census Tract 231.03, San Francisco County, California",1410
6075023200,"Census Tract 232, San Francisco County, California",1383
6075023300,"Census Tract 233, San Francisco County, California",804
6075023400,"Census Tract 234, San Francisco County, California",1080
6075025100,"Census Tract 251, San Francisco County, California",1346
6075025200,"Census Tract 252, San Francisco County, California",2241
6075025300,"Census Tract 253, San Francisco County, California",1955
6075025401,"Census Tract 254.01, San Francisco County, California",1359
6075025402,"Census Tract 254.02, San Francisco County, California",1126
6075025403,"Census Tract 254.03, San Francisco County, California",1552
6075025500,"Census Tract 255, San Francisco County, California",2413
6075025600,"Census Tract 256, San Francisco County, California",1590
6075025701,"Census Tract 257.01, San Francisco County, California",1397
6075025702,"Census Tract 257.02, San Francisco County, California",1240
6075025800,"Census Tract 258, San Francisco County, California",653
6075025900,"Census Tract 259, San Francisco County, California",1393
6075026001,"Census Tract 260.01, San Francisco County, California",1568
6075026002,"Census Tract 260.02, San Francisco County, California",1022
6075026003,"Census Tract 260.03, San Francisco County, California",1364
6075026004,"Census Tract 260.04, San Francisco County, California",1213
6075026100,"Census Tract 261, San Francisco County, California",1898
6075026200,"Census Tract 262, San Francisco County, California",1979
6075026301,"Census Tract 263.01, San Francisco County, California",1242
6075026302,"Census Tract 263.02, San Francisco County, California",1483
6075026303,"Census Tract 263.03, San Francisco County, California",1311
6075026401,"Census Tract 264.01, San Francisco County, California",1068
6075026402,"Census Tract 264.02, San Francisco County, California",1129
6075026403,"Census Tract 264.03, San Francisco County, California",1154
6075026404,"Census Tract 264.04, San Francisco County, California",723
6075030101,"Census Tract 301.01, San Francisco County, California",2137
