Id2,Geography,Estimate; Total
6075010100,"Census Tract 101, San Francisco County, California",2036
6075010200,"Census Tract 102, San Francisco County, California",3031
6075010300,"Census Tract 103, San Francisco County, California",2262
6075010400,"Census Tract 104, San Francisco County, California",2995
6075010500,"Census Tract 105, San Francisco County, California",1805
6075010600,"Census Tract 106, San Francisco County, California",2111
6075010700,"Census Tract 107, San Francisco County, California",2914
6075010800,"Census Tract 108, San Francisco County, California",2722
6075010900,"Census Tract 109, San Francisco County, California",2885
6075011000,"Census Tract 110, San Francisco County, California",2657
6075011100,"Census Tract 111, San Francisco County, California",2959
6075011200,"Census Tract 112, San Francisco County, California",2335
6075011300,"Census Tract 113, San Francisco County, California",1560
6075011400,"Census Tract 114, San Francisco County, California",1624
6075011500,"Census Tract 115, San Francisco County, California",655
6075011700,"Census Tract 117, San Francisco County, California",1222
6075011800,"Census Tract 118, San Francisco County, California",739
6075011900,"Census Tract 119, San Francisco County, California",3696
6075012000,"Census Tract 120, San Francisco County, California",2591
6075012100,"Census Tract 121, San Francisco County, California",2283
6075012200,"Census Tract 122, San Francisco County, California",4158
6075012300,"Census Tract 123, San Francisco County, California",4339
6075012400,"Census Tract 124, San Francisco County, California",4569
6075012500,"Census Tract 125, San Francisco County, California",4775
6075012600,"Census Tract 126, San Francisco County, California",3464
6075012700,"Census Tract 127, San Francisco County, California",2248
6075012800,"Census Tract 128, San Francisco County, California",2614
6075012900,"Census Tract 129, San Francisco County, California",3820
6075013000,"Census Tract 130, San Francisco County, California",2705
6075013100,"Census Tract 131, San Francisco County, California",4391
6075013200,"Census Tract 132, San Francisco County, California",2707
6075013300,"Census Tract 133, San Francisco County, California",1945
6075013400,"Census Tract 134, San Francisco County, California",2259
6075013500,"Census Tract 135, San Francisco County, California",1872
6075015100,"Census Tract 151, San Francisco County, California",1636
6075015200,"Census Tract 152, San Francisco County, California",2713
6075015300,"Census Tract 153, San Francisco County, California",1058
6075015400,"Census Tract 154, San Francisco County, California",3095
6075015500,"Census Tract 155, San Francisco County, California",2390
6075015600,"Census Tract 156, San Francisco County, California",1303
