Id2,Geography,Estimate; Total
6075010100,"Census Tract 101, San Francisco County, California",2303
6075010200,"Census Tract 102, San Francisco County, California",3056
6075010300,"Census Tract 103, San Francisco County, California",2379
6075010400,"Census Tract 104, San Francisco County, California",2883
6075010500,"Census Tract 105, San Francisco County, California",1976
6075010600,"Census Tract 106, San Francisco County, California",2154
6075010700,"Census Tract 107, San Francisco County, California",2754
6075010800,"Census Tract 108, San Francisco County, California",2759
6075010900,"Census Tract 109, San Francisco County, California",2882
6075011000,"Census Tract 110, San Francisco County, California",2871
6075011100,"Census Tract 111, San Francisco County, California",3370
6075011200,"Census Tract 112, San Francisco County, California",2348
6075011300,"Census Tract 113, San Francisco County, California",1676
6075011700,"Census Tract 117, San Francisco County, California",1350
6075011800,"Census Tract 118, San Francisco County, California",783
6075011901,"Census Tract 119.01, San Francisco County, California",1729
6075011902,"Census Tract 119.02, San Francisco County, California",1984
6075012000,"Census Tract 120, San Francisco County, California",2819
6075012100,"Census Tract 121, San Francisco County, California",2303
6075012201,"Census Tract 122.01, San Francisco County, California",3092
6075012202,"Census Tract 122.02, San Francisco County, California",1718
6075012301,"Census Tract 123.01, San Francisco County, California",1676
6075012302,"Census Tract 123.02, San Francisco County, California",2257
6075012401,"Census Tract 124.01, San Francisco County, California",3129
6075012402,"Census Tract 124.02, San Francisco County, California",2671
6075012501,"Census Tract 125.01, San Francisco County, California",2630
6075012502,"Census Tract 125.02, San Francisco County, California",2313
6075012601,"Census Tract 126.01, San Francisco County, California",1680
6075012602,"Census Tract 126.02, San Francisco County, California",1817
6075012700,"Census Tract 127, San Francisco County, California",2304
6075012800,"Census Tract 128, San Francisco County, California",2569
6075012901,"Census Tract 129.01, San Francisco County, California",1694
6075012902,"Census Tract 129.02, San Francisco County, California",2244
6075013000,"Census Tract 130, San Francisco County, California",2688
6075013101,"Census Tract 131.01, San Francisco County, California",2614
6075013102,"Census Tract 131.02, San Francisco County, California",1747
6075013200,"Census Tract 132, San Francisco County, California",2634
6075013300,"Census Tract 133, San Francisco County, California",2101
6075013400,"Census Tract 134, San Francisco County, California",2191
6075013500,"Census Tract 135, San Francisco County, California",1887
6075015100,"Census Tract 151, San Francisco County, California",1917
6075015200,"Census Tract 152, San Francisco County, California",2599
6075015300,"Census Tract 153, San Francisco County, California",1041
6075015400,"Census Tract 154, San Francisco County, California",3179
6075015500,"Census Tract 155, San Francisco County, California",2541
6075015600,"Census Tract 156, San Francisco County, California",1576
6075015700,"Census Tract 157, San Francisco County, California",2844
6075015801,"Census Tract 158.01, San Francisco County, California",1832
6075015802,"Census Tract 158.02, San Francisco County, California",1681
6075015900,"Census Tract 159, San Francisco County, California",2427
6075016000,"Census Tract 160, San Francisco County, California",1954
6075016100,"Census Tract 161, San Francisco County, California",2843
6075016200,"Census Tract 162, San Francisco County, California",1954
6075016300,"Census Tract 163, San Francisco County, California",2160
6075016400,"Census Tract 164, San Francisco County, California",1935
6075016500,"Census Tract 165, San Francisco County, California",2509
6075016600,"Census Tract 166, San Francisco County, California",2765
6075016700,"Census Tract 167, San Francisco County, California",2527
6075016801,"Census Tract 168.01, San Francisco County, California",1862
