Id2,Geography,Estimate; Total
6075010100,"Census Tract 101, San Francisco County, California",2319
6075010200,"Census Tract 102, San Francisco County, California",2946
6075010300,"Census Tract 103, San Francisco County, California",2254
6075010400,"Census Tract 104, San Francisco County, California",2889
6075010500,"Census Tract 105, San Francisco County, California",1946
6075010600,"Census Tract 106, San Francisco County, California",2207
6075010700,"Census Tract 107, San Francisco County, California",2927
6075010800,"Census Tract 108, San Francisco County, California",2785
6075010900,"Census Tract 109, San Francisco County, California",2930
6075011000,"Census Tract 110, San Francisco County, California",2728
6075011100,"Census Tract 111, San Francisco County, California",3181
6075011200,"Census Tract 112, San Francisco County, California",2374
6075011300,"Census Tract 113, San Francisco County, California",1660
6075011700,"Census Tract 117, San Francisco County, California",1259
6075011800,"Census Tract 118, San Francisco County, California",748
6075011901,"Census Tract 119.01, San Francisco County, California",1830
6075011902,"Census Tract 119.02, San Francisco County, California",1968
6075012000,"Census Tract 120, San Francisco County, California",2788
6075012100,"Census Tract 121, San Francisco County, California",2371
6075012201,"Census Tract 122.01, San Francisco County, California",2877
6075012202,"Census Tract 122.02, San Francisco County, California",1618
6075012301,"Census Tract 123.01, San Francisco County, California",1814
6075012302,"Census Tract 123.02, San Francisco County, California",2394
6075012401,"Census Tract 124.01, San Francisco County, California",2825
6075012402,"Census Tract 124.02, San Francisco County, California",2251
6075012501,"Census Tract 125.01, San Francisco County, California",2557
6075012502,"Census Tract 125.02, San Francisco County, California",2474
6075012601,"Census Tract 126.01, San Francisco County, California",1666
6075012602,"Census Tract 126.02, San Francisco County, California",1945
6075012700,"Census Tract 127, San Francisco County, California",2260
6075012800,"Census Tract 128, San Francisco County, California",2642
6075012901,"Census Tract 129.01, San Francisco County, California",1694
6075012902,"Census Tract 129.02, San Francisco County, California",2193
6075013000,"Census Tract 130, San Francisco County, California",2709
6075013101,"Census Tract 131.01, San Francisco County, California",2578
6075013102,"Census Tract 131.02, San Francisco County, California",1776
6075013200,"Census Tract 132, San Francisco County, California",2625
6075013300,"Census Tract 133, San Francisco County, California",2100
6075013400,"Census Tract 134, San Francisco County, California",2253
6075013500,"Census Tract 135, San Francisco County, California",1841
6075015100,"Census Tract 151, San Francisco County, California",1777
6075015200,"Census Tract 152, San Francisco County, California",2564
6075015300,"Census Tract 153, San Francisco County, California",1033
6075015400,"Census Tract 154, San Francisco County, California",3069
6075015500,"Census Tract 155, San Francisco County, California",2500
6075015600,"Census Tract 156, San Francisco County, California",1351
6075015700,"Census Tract 157, San Francisco County, California",2746
6075015801,"Census Tract 158.01, San Francisco County, California",1786
6075015802,"Census Tract 158.02, San Francisco County, California",1596
6075015900,"Census Tract 159, San Francisco County, California",2360
6075016000,"Census Tract 160, San Francisco County, California",1764
6075016100,"Census Tract 161, San Francisco County, California",2958
6075016200,"Census Tract 162, San Francisco County, California",1599
6075016300,"Census Tract 163, San Francisco County, California",2157
6075016400,"Census Tract 164, San Francisco County, California",1968
6075016500,"Census Tract 165, San Francisco County, California",2533
6075016600,"Census Tract 166, San Francisco County, California",2702
6075016700,"Census Tract 167, San Francisco County, California",2529
6075016801,"Census Tract 168.01, San Francisco County, California",1747
6075016802,"Census Tract 168.02, San Francisco County, California",1963
6075016900,"Census Tract 169, San Francisco County, California",1784
6075017000,"Census Tract 170, San Francisco County, California",2386
6075017101,"Census Tract 171.01, San Francisco County, California",1923
6075017102,"Census Tract 171.02, San Francisco County, California",1835
6075017601,"Census Tract 176.01, San Francisco County, California",4526
6075017700,"Census Tract 177, San Francisco County, California",828
6075017801,"Census Tract 178.01, San Francisco County, California",2494
6075017802,"Census Tract 178.02, San Francisco County, California",2188
6075017902,"Census Tract 179.02, San Francisco County, California",880
6075018000,"Census Tract 180, San Francisco County, California",1535
6075020100,"Census Tract 201, San Francisco County, California",3039
6075020200,"Census Tract 202, San Francisco County, California",3457
6075020300,"Census Tract 203, San Francisco County, California",1816
6075020401,"Census Tract 204.01, San Francisco County, California",1804
6075020402,"Census Tract 204.02, San Francisco County, California",2600
6075020500,"Census Tract 205, San Francisco County, California",1410
6075020600,"Census Tract 206, San Francisco County, California",2841
6075020700,"Census Tract 207, San Francisco County, California",2852
6075020800,"Census Tract 208, San Francisco County, California",2710
6075020900,"Census Tract 209, San Francisco County, California",1915
6075021000,"Census Tract 210, San Francisco County, California",2204
6075021100,"Census Tract 211, San Francisco County, California",2019
6075021200,"Census Tract 212, San Francisco County, California",1544
6075021300,"Census Tract 213, San Francisco County, California",1281
6075021400,"Census Tract 214, San Francisco County, California",1799
6075021500,"Census Tract 215, San Francisco County, California",2714
6075021600,"Census Tract 216, San Francisco County, California",2242
6075021700,"Census Tract 217, San Francisco County, California",2011
6075021800,"Census Tract 218, San Francisco County, California",1942
6075022600,"Census Tract 226, San Francisco County, California",867
6075022702,"Census Tract 227.02, San Francisco County, California",1072
6075022704,"Census Tract 227.04, San Francisco County, California",1655
6075022801,"Census Tract 228.01, San Francisco County, California",1818
6075022802,"Census Tract 228.02, San Francisco County, California",666
6075022803,"Census Tract 228.03, San Francisco County, California",1633
6075022901,"Census Tract 229.01, San Francisco County, California",1547
6075022902,"Census Tract 229.02, San Francisco County, California",864
6075022903,"Census Tract 229.03, San Francisco County, California",1110
6075023001,"Census Tract 230.01, San Francisco County, California",1458
6075023003,"Census Tract 230.03, San Francisco County, California",1213
6075023102,"Census Tract 231.02, San Francisco County, California",1374
6075023103,"Census Tract 231.03, San Francisco County, California",1384
6075023200,"Census Tract 232, San Francisco County, California",1359
6075023300,"Census Tract 233, San Francisco County, California",892
6075023400,"Census Tract 234, San Francisco County, California",1080
6075025100,"Census Tract 251, San Francisco County, California",1377
6075025200,"Census Tract 252, San Francisco County, California",2267
6075025300,"Census Tract 253, San Francisco County, California",1963
6075025401,"Census Tract 254.01, San Francisco County, California",1405
6075025402,"Census Tract 254.02, San Francisco County, California",1138
6075025403,"Census Tract 254.03, San Francisco County, California",1551
6075025500,"Census Tract 255, San Francisco County, California",2483
6075025600,"Census Tract 256, San Francisco County, California",1617
6075025701,"Census Tract 257.01, San Francisco County, California",1392
6075025702,"Census Tract 257.02, San Francisco County, California",1204
6075025800,"Census Tract 258, San Francisco County, California",640
6075025900,"Census Tract 259, San Francisco County, California",1404
6075026001,"Census Tract 260.01, San Francisco County, California",1568
6075026002,"Census Tract 260.02, San Francisco County, California",1006
6075026003,"Census Tract 260.03, San Francisco County, California",1349
6075026004,"Census Tract 260.04, San Francisco County, California",1205
6075026100,"Census Tract 261, San Francisco County, California",1893
6075026200,"Census Tract 262, San Francisco County, California",1980
6075026301,"Census Tract 263.01, San Francisco County, California",1275
6075026302,"Census Tract 263.02, San Francisco County, California",1445
6075026303,"Census Tract 263.03, San Francisco County, California",1309
6075026401,"Census Tract 264.01, San Francisco County, California",1083
6075026402,"Census Tract 264.02, San Francisco County, California",1133
6075026403,"Census Tract 264.03, San Francisco County, California",1133
6075026404,"Census Tract 264.04, San Francisco County, California",712
6075030101,"Census Tract 301.01, San Francisco County, California",2139
6075030102,"Census Tract 301.02, San Francisco County, California",2408
6075030201,"Census Tract 302.01, San Francisco County, California",1913
6075030202,"Census Tract 302.02, San Francisco County, California",2232
6075030301,"Census Tract 303.01, San Francisco County, California",2577
6075030302,"Census Tract 303.02, San Francisco County, California",1375
6075030400,"Census Tract 304, San Francisco County, California",2027
6075030500,"Census Tract 305, San Francisco County, California",1069
6075030600,"Census Tract 306, San Francisco County, California",916
6075030700,"Census Tract 307, San Francisco County, California",2777
6075030800,"Census Tract 308, San Francisco County, California",2308
6075030900,"Census Tract 309, San Francisco County, California",2466
6075031000,"Census Tract 310, San Francisco County, California",1366
6075031100,"Census Tract 311, San Francisco County, California",2560
6075031201,"Census Tract 312.01, San Francisco County, California",1825
6075031202,"Census Tract 312.02, San Francisco County, California",910
6075031301,"Census Tract 313.01, San Francisco County, California",1348
6075031302,"Census Tract 313.02, San Francisco County, California",1959
6075031400,"Census Tract 314, San Francisco County, California",1974
6075032601,"Census Tract 326.01, San Francisco County, California",1826
6075032602,"Census Tract 326.02, San Francisco County, California",1767
6075032700,"Census Tract 327, San Francisco County, California",2504
6075032801,"Census Tract 328.01, San Francisco County, California",1470
6075032802,"Census Tract 328.02, San Francisco County, California",1478
6075032901,"Census Tract 329.01, San Francisco County, California",1808
6075032902,"Census Tract 329.02, San Francisco County, California",1379
6075033000,"Census Tract 330, San Francisco County, California",2834
6075033100,"Census Tract 331, San Francisco County, California",1522
6075033201,"Census Tract 332.01, San Francisco County, California",800
6075033203,"Census Tract 332.03, San Francisco County, California",1593
6075033204,"Census Tract 332.04, San Francisco County, California",1715
6075035100,"Census Tract 351, San Francisco County, California",2889
6075035201,"Census Tract 352.01, San Francisco County, California",1980
6075035202,"Census Tract 352.02, San Francisco County, California",1883
6075035300,"Census Tract 353, San Francisco County, California",2568
6075035400,"Census Tract 354, San Francisco County, California",2419
6075040100,"Census Tract 401, San Francisco County, California",2086
6075040200,"Census Tract 402, San Francisco County, California",2525
6075042601,"Census Tract 426.01, San Francisco County, California",1831
6075042602,"Census Tract 426.02, San Francisco County, California",1553
6075042700,"Census Tract 427, San Francisco County, California",2614
6075042800,"Census Tract 428, San Francisco County, California",1017
6075045100,"Census Tract 451, San Francisco County, California",2331
6075045200,"Census Tract 452, San Francisco County, California",2981
6075047600,"Census Tract 476, San Francisco County, California",2390
6075047701,"Census Tract 477.01, San Francisco County, California",2068
6075047702,"Census Tract 477.02, San Francisco County, California",1637
6075047801,"Census Tract 478.01, San Francisco County, California",1798
6075047802,"Census Tract 478.02, San Francisco County, California",1655
6075047901,"Census Tract 479.01, San Francisco County, California",2802
6075047902,"Census Tract 479.02, San Francisco County, California",1649
6075060100,"Census Tract 601, San Francisco County, California",1280
6075060400,"Census Tract 604, San Francisco County, California",1303
6075060502,"Census Tract 605.02, San Francisco County, California",1028
6075060700,"Census Tract 607, San Francisco County, California",4401
6075061000,"Census Tract 610, San Francisco County, California",1406
6075061100,"Census Tract 611, San Francisco County, California",2388
6075061200,"Census Tract 612, San Francisco County, California",1195
6075061400,"Census Tract 614, San Francisco County, California",2600
6075061500,"Census Tract 615, San Francisco County, California",8003
6075980200,"Census Tract 9802, San Francisco County, California",91
6075980300,"Census Tract 9803, San Francisco County, California",27
6075980401,"Census Tract 9804.01, San Francisco County, California",0
6075980501,"Census Tract 9805.01, San Francisco County, California",244
6075980600,"Census Tract 9806, San Francisco County, California",155
6075980900,"Census Tract 9809, San Francisco County, California",212
6075990100,"Census Tract 9901, San Francisco County, California",0
