Id2,Geography,Estimate; Total
6075010100,"Census Tract 101, San Francisco County, California",2306
6075010200,"Census Tract 102, San Francisco County, California",2948
6075010300,"Census Tract 103, San Francisco County, California",2303
6075010400,"Census Tract 104, San Francisco County, California",2875
6075010500,"Census Tract 105, San Francisco County, California",1944
6075010600,"Census Tract 106, San Francisco County, California",2145
6075010700,"Census Tract 107, San Francisco County, California",2845
6075010800,"Census Tract 108, San Francisco County, California",2786
6075010900,"Census Tract 109, San Francisco County, California",2934
6075011000,"Census Tract 110, San Francisco County, California",2735
6075011100,"Census Tract 111, San Francisco County, California",3210
6075011200,"Census Tract 112, San Francisco County, California",2384
6075011300,"Census Tract 113, San Francisco County, California",1617
6075011700,"Census Tract 117, San Francisco County, California",1268
6075011800,"Census Tract 118, San Francisco County, California",743
6075011901,"Census Tract 119.01, San Francisco County, California",1788
6075011902,"Census Tract 119.02, San Francisco County, California",1942
6075012000,"Census Tract 120, San Francisco County, California",2777
6075012100,"Census Tract 121, San Francisco County, California",2376
6075012201,"Census Tract 122.01, San Francisco County, California",2923
6075012202,"Census Tract 122.02, San Francisco County, California",1623
6075012301,"Census Tract 123.01, San Francisco County, California",1719
6075012302,"Census Tract 123.02, San Francisco County, California",2339
6075012401,"Census Tract 124.01, San Francisco County, California",2896
6075012402,"Census Tract 124.02, San Francisco County, California",2342
6075012501,"Census Tract 125.01, San Francisco County, California",2622
6075012502,"Census Tract 125.02, San Francisco County, California",2411
6075012601,"Census Tract 126.01, San Francisco County, California",1675
6075012602,"Census Tract 126.02, San Francisco County, California",1960
6075012700,"Census Tract 127, San Francisco County, California",2267
6075012800,"Census Tract 128, San Francisco County, California",2657
6075012901,"Census Tract 129.01, San Francisco County, California",1684
6075012902,"Census Tract 129.02, San Francisco County, California",2204
6075013000,"Census Tract 130, San Francisco County, California",2696
6075013101,"Census Tract 131.01, San Francisco County, California",2587
6075013102,"Census Tract 131.02, San Francisco County, California",1777
6075013200,"Census Tract 132, San Francisco County, California",2631
6075013300,"Census Tract 133, San Francisco County, California",2114
6075013400,"Census Tract 134, San Francisco County, California",2212
6075013500,"Census Tract 135, San Francisco County, California",1828
6075015100,"Census Tract 151, San Francisco County, California",1797
6075015200,"Census Tract 152, San Francisco County, California",2573
6075015300,"Census Tract 153, San Francisco County, California",1003
6075015400,"Census Tract 154, San Francisco County, California",3050
6075015500,"Census Tract 155, San Francisco County, California",2435
6075015600,"Census Tract 156, San Francisco County, California",1363
6075015700,"Census Tract 157, San Francisco County, California",2755
