Id2,Geography,Estimate; Total
6075010100,"Census Tract 101, San Francisco County, California",2307
6075010200,"Census Tract 102, San Francisco County, California",3085
6075010300,"Census Tract 103, San Francisco County, California",2395
6075010400,"Census Tract 104, San Francisco County, California",2805
6075010500,"Census Tract 105, San Francisco County, California",1969
6075010600,"Census Tract 106, San Francisco County, California",2098
6075010700,"Census Tract 107, San Francisco County, California",2750
6075010800,"Census Tract 108, San Francisco County, California",2787
6075010900,"Census Tract 109, San Francisco County, California",2927
6075011000,"Census Tract 110, San Francisco County, California",2837
6075011100,"Census Tract 111, San Francisco County, California",3329
6075011200,"Census Tract 112, San Francisco County, California",2344
6075011300,"Census Tract 113, San Francisco County, California",1632
6075011700,"Census Tract 117, San Francisco County, California",1259
6075011800,"Census Tract 118, San Francisco County, California",739
6075011901,"Census Tract 119.01, San Francisco County, California",1736
6075011902,"Census Tract 119.02, San Francisco County, California",1956
6075012000,"Census Tract 120, San Francisco County, California",2761
6075012100,"Census Tract 121, San Francisco County, California",2294
6075012201,"Census Tract 122.01, San Francisco County, California",3045
6075012202,"Census Tract 122.02, San Francisco County, California",1713
6075012301,"Census Tract 123.01, San Francisco County, California",1640
6075012302,"Census Tract 123.02, San Francisco County, California",2250
6075012401,"Census Tract 124.01, San Francisco County, California",3052
6075012402,"Census Tract 124.02, San Francisco County, California",2437
6075012501,"Census Tract 125.01, San Francisco County, California",2628
6075012502,"Census Tract 125.02, San Francisco County, California",2297
6075012601,"Census Tract 126.01, San Francisco County, California",1702
6075012602,"Census Tract 126.02, San Francisco County, California",1833
6075012700,"Census Tract 127, San Francisco County, California",2306
6075012800,"Census Tract 128, San Francisco County, California",2675
6075012901,"Census Tract 129.01, San Francisco County, California",1699
6075012902,"Census Tract 129.02, San Francisco County, California",2210
6075013000,"Census Tract 130, San Francisco County, California",2657
6075013101,"Census Tract 131.01, San Francisco County, California",2609
6075013102,"Census Tract 131.02, San Francisco County, California",1758
6075013200,"Census Tract 132, San Francisco County, California",2647
6075013300,"Census Tract 133, San Francisco County, California",2088
6075013400,"Census Tract 134, San Francisco County, California",2213
6075013500,"Census Tract 135, San Francisco County, California",1861
6075015100,"Census Tract 151, San Francisco County, California",1842
6075015200,"Census Tract 152, San Francisco County, California",2636
6075015300,"Census Tract 153, San Francisco County, California",1057
6075015400,"Census Tract 154, San Francisco County, California",3077
6075015500,"Census Tract 155, San Francisco County, California",2490
6075015600,"Census Tract 156, San Francisco County, California",1542
6075015700,"Census Tract 157, San Francisco County, California",2805
6075015801,"Census Tract 158.01, San Francisco County, California",1784
6075015802,"Census Tract 158.02, San Francisco County, California",1710
6075015900,"Census Tract 159, San Francisco County, California",2441
6075016000,"Census Tract 160, San Francisco County, California",1909
6075016100,"Census Tract 161, San Francisco County, California",2854
6075016200,"Census Tract 162, San Francisco County, California",1795
6075016300,"Census Tract 163, San Francisco County, California",2164
6075016400,"Census Tract 164, San Francisco County, California",1926
6075016500,"Census Tract 165, San Francisco County, California",2488
6075016600,"Census Tract 166, San Francisco County, California",2683
6075016700,"Census Tract 167, San Francisco County, California",2533
6075016801,"Census Tract 168.01, San Francisco County, California",1774
6075016802,"Census Tract 168.02, San Francisco County, California",1986
6075016900,"Census Tract 169, San Francisco County, California",1764
6075017000,"Census Tract 170, San Francisco County, California",2371
6075017101,"Census Tract 171.01, San Francisco County, California",1961
6075017102,"Census Tract 171.02, San Francisco County, California",1839
6075017601,"Census Tract 176.01, San Francisco County, California",5284
6075017700,"Census Tract 177, San Francisco County, California",820
6075017801,"Census Tract 178.01, San Francisco County, California",2509
6075017802,"Census Tract 178.02, San Francisco County, California",2520
6075017902,"Census Tract 179.02, San Francisco County, California",806
6075018000,"Census Tract 180, San Francisco County, California",1566
6075020100,"Census Tract 201, San Francisco County, California",3266
6075020200,"Census Tract 202, San Francisco County, California",3417
6075020300,"Census Tract 203, San Francisco County, California",1818
6075020401,"Census Tract 204.01, San Francisco County, California",1838
6075020402,"Census Tract 204.02, San Francisco County, California",2719
6075020500,"Census Tract 205, San Francisco County, California",1444
6075020600,"Census Tract 206, San Francisco County, California",2922
6075020700,"Census Tract 207, San Francisco County, California",2929
6075020800,"Census Tract 208, San Francisco County, California",2778
6075020900,"Census Tract 209, San Francisco County, California",1927
6075021000,"Census Tract 210, San Francisco County, California",2274
6075021100,"Census Tract 211, San Francisco County, California",2030
6075021200,"Census Tract 212, San Francisco County, California",1530
6075021300,"Census Tract 213, San Francisco County, California",1287
6075021400,"Census Tract 214, San Francisco County, California",1806
6075021500,"Census Tract 215, San Francisco County, California",2689
6075021600,"Census Tract 216, San Francisco County, California",2227
6075021700,"Census Tract 217, San Francisco County, California",1934
6075021800,"Census Tract 218, San Francisco County, California",1932
6075022600,"Census Tract 226, San Francisco County, California",955
6075022702,"Census Tract 227.02, San Francisco County, California",1090
6075022704,"Census Tract 227.04, San Francisco County, California",1752
6075022801,"Census Tract 228.01, San Francisco County, California",2015
6075022802,"Census Tract 228.02, San Francisco County, California",690
6075022803,"Census Tract 228.03, San Francisco County, California",1689
6075022901,"Census Tract 229.01, San Francisco County, California",1575
6075022902,"Census Tract 229.02, San Francisco County, California",887
6075022903,"Census Tract 229.03, San Francisco County, California",1212
6075023001,"Census Tract 230.01, San Francisco County, California",1421
6075023003,"Census Tract 230.03, San Francisco County, California",1245
6075023102,"Census Tract 231.02, San Francisco County, California",1583
6075023103,"Census Tract 231.03, San Francisco County, California",1129
6075023200,"Census Tract 232, San Francisco County, California",1344
6075023300,"Census Tract 233, San Francisco County, California",1056
6075023400,"Census Tract 234, San Francisco County, California",1052
6075025100,"Census Tract 251, San Francisco County, California",1380
6075025200,"Census Tract 252, San Francisco County, California",2310
6075025300,"Census Tract 253, San Francisco County, California",1969
6075025401,"Census Tract 254.01, San Francisco County, California",1403
6075025402,"Census Tract 254.02, San Francisco County, California",1162
6075025403,"Census Tract 254.03, San Francisco County, California",1589
6075025500,"Census Tract 255, San Francisco County, California",2749
6075025600,"Census Tract 256, San Francisco County, California",1743
6075025701,"Census Tract 257.01, San Francisco County, California",1451
6075025702,"Census Tract 257.02, San Francisco County, California",1274
6075025800,"Census Tract 258, San Francisco County, California",656
6075025900,"Census Tract 259, San Francisco County, California",1487
6075026001,"Census Tract 260.01, San Francisco County, California",1654
6075026002,"Census Tract 260.02, San Francisco County, California",1032
6075026003,"Census Tract 260.03, San Francisco County, California",1449
6075026004,"Census Tract 260.04, San Francisco County, California",1271
6075026100,"Census Tract 261, San Francisco County, California",2013
6075026200,"Census Tract 262, San Francisco County, California",2077
6075026301,"Census Tract 263.01, San Francisco County, California",1398
6075026302,"Census Tract 263.02, San Francisco County, California",1536
6075026303,"Census Tract 263.03, San Francisco County, California",1349
6075026401,"Census Tract 264.01, San Francisco County, California",1084
6075026402,"Census Tract 264.02, San Francisco County, California",1218
6075026403,"Census Tract 264.03, San Francisco County, California",1169
6075026404,"Census Tract 264.04, San Francisco County, California",717
6075030101,"Census Tract 301.01, San Francisco County, California",2179
6075030102,"Census Tract 301.02, San Francisco County, California",2353
6075030201,"Census Tract 302.01, San Francisco County, California",2000
6075030202,"Census Tract 302.02, San Francisco County, California",2154
6075030301,"Census Tract 303.01, San Francisco County, California",2570
6075030302,"Census Tract 303.02, San Francisco County, California",1462
6075030400,"Census Tract 304, San Francisco County, California",2044
6075030500,"Census Tract 305, San Francisco County, California",1058
6075030600,"Census Tract 306, San Francisco County, California",903
6075030700,"Census Tract 307, San Francisco County, California",2792
6075030800,"Census Tract 308, San Francisco County, California",2402
6075030900,"Census Tract 309, San Francisco County, California",2490
6075031000,"Census Tract 310, San Francisco County, California",1358
6075031100,"Census Tract 311, San Francisco County, California",2652
6075031201,"Census Tract 312.01, San Francisco County, California",1973
6075031202,"Census Tract 312.02, San Francisco County, California",914
6075031301,"Census Tract 313.01, San Francisco County, California",1377
6075031302,"Census Tract 313.02, San Francisco County, California",1961
6075031400,"Census Tract 314, San Francisco County, California",1975
6075032601,"Census Tract 326.01, San Francisco County, California",1856
6075032602,"Census Tract 326.02, San Francisco County, California",1778
6075032700,"Census Tract 327, San Francisco County, California",2605
6075032801,"Census Tract 328.01, San Francisco County, California",1506
6075032802,"Census Tract 328.02, San Francisco County, California",1539
6075032901,"Census Tract 329.01, San Francisco County, California",1852
6075032902,"Census Tract 329.02, San Francisco County, California",1435
6075033000,"Census Tract 330, San Francisco County, California",2841
6075033100,"Census Tract 331, San Francisco County, California",1567
6075033201,"Census Tract 332.01, San Francisco County, California",778
6075033203,"Census Tract 332.03, San Francisco County, California",1605
6075033204,"Census Tract 332.04, San Francisco County, California",1679
6075035100,"Census Tract 351, San Francisco County, California",2965
6075035201,"Census Tract 352.01, San Francisco County, California",2006
6075035202,"Census Tract 352.02, San Francisco County, California",1897
6075035300,"Census Tract 353, San Francisco County, California",2604
6075035400,"Census Tract 354, San Francisco County, California",2576
6075040100,"Census Tract 401, San Francisco County, California",2054
6075040200,"Census Tract 402, San Francisco County, California",2591
6075042601,"Census Tract 426.01, San Francisco County, California",1843
6075042602,"Census Tract 426.02, San Francisco County, California",1567
6075042700,"Census Tract 427, San Francisco County, California",2664
6075042800,"Census Tract 428, San Francisco County, California",1037
6075045100,"Census Tract 451, San Francisco County, California",2308
6075045200,"Census Tract 452, San Francisco County, California",3013
6075047600,"Census Tract 476, San Francisco County, California",2392
6075047701,"Census Tract 477.01, San Francisco County, California",2049
6075047702,"Census Tract 477.02, San Francisco County, California",1699
6075047801,"Census Tract 478.01, San Francisco County, California",1801
6075047802,"Census Tract 478.02, San Francisco County, California",1656
6075047901,"Census Tract 479.01, San Francisco County, California",2796
6075047902,"Census Tract 479.02, San Francisco County, California",1634
6075060100,"Census Tract 601, San Francisco County, California",1335
6075060400,"Census Tract 604, San Francisco County, California",1030
6075060502,"Census Tract 605.02, San Francisco County, California",1087
6075060700,"Census Tract 607, San Francisco County, California",5206
6075061000,"Census Tract 610, San Francisco County, California",1618
6075061100,"Census Tract 611, San Francisco County, California",2250
6075061200,"Census Tract 612, San Francisco County, California",1242
6075061400,"Census Tract 614, San Francisco County, California",2644
6075061500,"Census Tract 615, San Francisco County, California",8825
6075980200,"Census Tract 9802, San Francisco County, California",84
6075980300,"Census Tract 9803, San Francisco County, California",65
6075980401,"Census Tract 9804.01, San Francisco County, California",0
6075980501,"Census Tract 9805.01, San Francisco County, California",286
6075980600,"Census Tract 9806, San Francisco County, California",164
6075980900,"Census Tract 9809, San Francisco County, California",162
6075990100,"Census Tract 9901, San Francisco County, California",0
