Id2,Geography,Estimate; Total
6075010100,"Census Tract 101, San Francisco County, California",2307
6075010200,"Census Tract 102, San Francisco County, California",3018
6075010300,"Census Tract 103, San Francisco County, California",2378
6075010400,"Census Tract 104, San Francisco County, California",2844
6075010500,"Census Tract 105, San Francisco County, California",1975
6075010600,"Census Tract 106, San Francisco County, California",2097
6075010700,"Census Tract 107, San Francisco County, California",2766
6075010800,"Census Tract 108, San Francisco County, California",2743
6075010900,"Census Tract 109, San Francisco County, California",2946
6075011000,"Census Tract 110, San Francisco County, California",2880
6075011100,"Census Tract 111, San Francisco County, California",3337
6075011200,"Census Tract 112, San Francisco County, California",2339
6075011300,"Census Tract 113, San Francisco County, California",1644
6075011700,"Census Tract 117, San Francisco County, California",1308
6075011800,"Census Tract 118, San Francisco County, California",770
6075011901,"Census Tract 119.01, San Francisco County, California",1728
6075011902,"Census Tract 119.02, San Francisco County, California",1971
6075012000,"Census Tract 120, San Francisco County, California",2814
6075012100,"Census Tract 121, San Francisco County, California",2296
6075012201,"Census Tract 122.01, San Francisco County, California",3077
6075012202,"Census Tract 122.02, San Francisco County, California",1700
6075012301,"Census Tract 123.01, San Francisco County, California",1667
6075012302,"Census Tract 123.02, San Francisco County, California",2262
6075012401,"Census Tract 124.01, San Francisco County, California",3047
6075012402,"Census Tract 124.02, San Francisco County, California",2577
6075012501,"Census Tract 125.01, San Francisco County, California",2621
6075012502,"Census Tract 125.02, San Francisco County, California",2263
6075012601,"Census Tract 126.01, San Francisco County, California",1701
6075012602,"Census Tract 126.02, San Francisco County, California",1830
6075012700,"Census Tract 127, San Francisco County, California",2332
6075012800,"Census Tract 128, San Francisco County, California",2635
6075012901,"Census Tract 129.01, San Francisco County, California",1688
6075012902,"Census Tract 129.02, San Francisco County, California",2264
6075013000,"Census Tract 130, San Francisco County, California",2646
6075013101,"Census Tract 131.01, San Francisco County, California",2612
6075013102,"Census Tract 131.02, San Francisco County, California",1738
6075013200,"Census Tract 132, San Francisco County, California",2650
6075013300,"Census Tract 133, San Francisco County, California",2079
6075013400,"Census Tract 134, San Francisco County, California",2207
6075013500,"Census Tract 135, San Francisco County, California",1910
6075015100,"Census Tract 151, San Francisco County, California",1844
6075015200,"Census Tract 152, San Francisco County, California",2571
6075015300,"Census Tract 153, San Francisco County, California",1059
6075015400,"Census Tract 154, San Francisco County, California",3166
6075015500,"Census Tract 155, San Francisco County, California",2495
6075015600,"Census Tract 156, San Francisco County, California",1575
6075015700,"Census Tract 157, San Francisco County, California",2831
6075015801,"Census Tract 158.01, San Francisco County, California",1773
6075015802,"Census Tract 158.02, San Francisco County, California",1684
6075015900,"Census Tract 159, San Francisco County, California",2452
6075016000,"Census Tract 160, San Francisco County, California",1935
6075016100,"Census Tract 161, San Francisco County, California",2854
6075016200,"Census Tract 162, San Francisco County, California",1881
6075016300,"Census Tract 163, San Francisco County, California",2176
6075016400,"Census Tract 164, San Francisco County, California",1951
6075016500,"Census Tract 165, San Francisco County, California",2527
6075016600,"Census Tract 166, San Francisco County, California",2691
6075016700,"Census Tract 167, San Francisco County, California",2538
6075016801,"Census Tract 168.01, San Francisco County, California",1783
6075016802,"Census Tract 168.02, San Francisco County, California",2048
6075016900,"Census Tract 169, San Francisco County, California",1772
6075017000,"Census Tract 170, San Francisco County, California",2355
6075017101,"Census Tract 171.01, San Francisco County, California",1970
6075017102,"Census Tract 171.02, San Francisco County, California",1829
6075017601,"Census Tract 176.01, San Francisco County, California",5530
6075017700,"Census Tract 177, San Francisco County, California",813
6075017801,"Census Tract 178.01, San Francisco County, California",2523
6075017802,"Census Tract 178.02, San Francisco County, California",2558
6075017902,"Census Tract 179.02, San Francisco County, California",769
6075018000,"Census Tract 180, San Francisco County, California",1496
6075020100,"Census Tract 201, San Francisco County, California",3481
6075020200,"Census Tract 202, San Francisco County, California",3425
6075020300,"Census Tract 203, San Francisco County, California",1867
6075020401,"Census Tract 204.01, San Francisco County, California",1831
6075020402,"Census Tract 204.02, San Francisco County, California",2731
6075020500,"Census Tract 205, San Francisco County, California",1447
6075020600,"Census Tract 206, San Francisco County, California",2923
6075020700,"Census Tract 207, San Francisco County, California",2951
6075020800,"Census Tract 208, San Francisco County, California",2879
6075020900,"Census Tract 209, San Francisco County, California",1963
6075021000,"Census Tract 210, San Francisco County, California",2254
6075021100,"Census Tract 211, San Francisco County, California",2113
6075021200,"Census Tract 212, San Francisco County, California",1563
6075021300,"Census Tract 213, San Francisco County, California",1297
6075021400,"Census Tract 214, San Francisco County, California",1823
6075021500,"Census Tract 215, San Francisco County, California",2697
6075021600,"Census Tract 216, San Francisco County, California",2235
6075021700,"Census Tract 217, San Francisco County, California",1927
6075021800,"Census Tract 218, San Francisco County, California",1912
6075022600,"Census Tract 226, San Francisco County, California",1006
6075022702,"Census Tract 227.02, San Francisco County, California",1088
6075022704,"Census Tract 227.04, San Francisco County, California",1790
6075022801,"Census Tract 228.01, San Francisco County, California",2030
6075022802,"Census Tract 228.02, San Francisco County, California",691
6075022803,"Census Tract 228.03, San Francisco County, California",1634
6075022901,"Census Tract 229.01, San Francisco County, California",1610
6075022902,"Census Tract 229.02, San Francisco County, California",894
6075022903,"Census Tract 229.03, San Francisco County, California",1232
6075023001,"Census Tract 230.01, San Francisco County, California",1434
6075023003,"Census Tract 230.03, San Francisco County, California",1268
6075023102,"Census Tract 231.02, San Francisco County, California",1567
6075023103,"Census Tract 231.03, San Francisco County, California",1121
6075023200,"Census Tract 232, San Francisco County, California",1349
6075023300,"Census Tract 233, San Francisco County, California",1046
6075023400,"Census Tract 234, San Francisco County, California",1023
6075025100,"Census Tract 251, San Francisco County, California",1405
6075025200,"Census Tract 252, San Francisco County, California",2306
6075025300,"Census Tract 253, San Francisco County, California",1927
6075025401,"Census Tract 254.01, San Francisco County, California",1410
