Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
6075010100,"Census Tract 101, San Francisco County, California",3685,2013,605,0,967,20
6075010200,"Census Tract 102, San Francisco County, California",4354,3555,45,0,387,0
6075010300,"Census Tract 103, San Francisco County, California",3736,2342,85,9,1184,9
6075010400,"Census Tract 104, San Francisco County, California",4481,3152,0,0,1203,0
6075010500,"Census Tract 105, San Francisco County, California",2415,1879,11,0,381,0
6075010600,"Census Tract 106, San Francisco County, California",4018,1349,182,22,2021,0
6075010700,"Census Tract 107, San Francisco County, California",5376,928,48,25,4324,0
6075010800,"Census Tract 108, San Francisco County, California",4789,2300,67,12,2285,17
6075010900,"Census Tract 109, San Francisco County, California",4377,3106,31,191,865,0
6075011000,"Census Tract 110, San Francisco County, California",5502,2635,63,0,2715,0
6075011100,"Census Tract 111, San Francisco County, California",5024,2550,230,18,1972,0
6075011200,"Census Tract 112, San Francisco County, California",3670,2296,11,0,1291,0
6075011300,"Census Tract 113, San Francisco County, California",3451,289,40,0,3085,4
6075011400,"Census Tract 114, San Francisco County, California",3067,21,9,0,3021,16
6075011500,"Census Tract 115, San Francisco County, California",773,144,24,0,567,11
6075011700,"Census Tract 117, San Francisco County, California",1531,623,108,9,746,0
6075011800,"Census Tract 118, San Francisco County, California",1563,91,0,0,1472,0
6075011900,"Census Tract 119, San Francisco County, California",4704,3082,83,55,1137,24
6075012000,"Census Tract 120, San Francisco County, California",3405,1936,100,0,1134,0
6075012100,"Census Tract 121, San Francisco County, California",2579,1585,38,21,850,11
6075012200,"Census Tract 122, San Francisco County, California",6434,3478,482,0,1847,0
6075012300,"Census Tract 123, San Francisco County, California",4581,1855,434,42,1189,8
6075012400,"Census Tract 124, San Francisco County, California",6923,2442,745,89,1807,43
6075012500,"Census Tract 125, San Francisco County, California",6317,2300,1126,69,2243,119
6075012600,"Census Tract 126, San Francisco County, California",4804,4226,0,43,387,0
6075012700,"Census Tract 127, San Francisco County, California",3410,3073,0,0,273,0
6075012800,"Census Tract 128, San Francisco County, California",4214,3479,94,23,425,0
6075012900,"Census Tract 129, San Francisco County, California",5790,4802,12,42,522,174
6075013000,"Census Tract 130, San Francisco County, California",3861,3371,25,7,359,0
6075013100,"Census Tract 131, San Francisco County, California",7140,5873,197,18,856,0
6075013200,"Census Tract 132, San Francisco County, California",5053,4374,14,11,410,0
6075013300,"Census Tract 133, San Francisco County, California",3766,3136,0,0,396,11
6075013400,"Census Tract 134, San Francisco County, California",3541,2928,199,0,345,0
6075013500,"Census Tract 135, San Francisco County, California",2893,2349,53,0,325,0
6075015100,"Census Tract 151, San Francisco County, California",2089,1416,17,0,553,0
6075015200,"Census Tract 152, San Francisco County, California",4009,3205,66,0,677,0
6075015300,"Census Tract 153, San Francisco County, California",2047,1493,199,0,222,0
6075015400,"Census Tract 154, San Francisco County, California",5922,4289,97,0,1285,0
6075015500,"Census Tract 155, San Francisco County, California",3662,1855,172,19,1359,0
6075015600,"Census Tract 156, San Francisco County, California",2909,1563,109,0,913,18
6075015700,"Census Tract 157, San Francisco County, California",7659,4349,486,0,1776,43
6075015800,"Census Tract 158, San Francisco County, California",6599,3643,2042,0,670,10
6075015900,"Census Tract 159, San Francisco County, California",4068,1942,710,23,1093,0
6075016000,"Census Tract 160, San Francisco County, California",2255,1308,40,0,746,0
6075016100,"Census Tract 161, San Francisco County, California",5229,1760,2376,11,722,0
6075016200,"Census Tract 162, San Francisco County, California",2431,1619,311,0,312,10
6075016300,"Census Tract 163, San Francisco County, California",4473,2747,1142,0,321,0
6075016400,"Census Tract 164, San Francisco County, California",3714,2322,546,14,482,0
6075016500,"Census Tract 165, San Francisco County, California",4597,3455,171,0,426,13
6075016600,"Census Tract 166, San Francisco County, California",5021,4069,241,2,312,64
6075016700,"Census Tract 167, San Francisco County, California",4718,3349,437,0,501,0
6075016800,"Census Tract 168, San Francisco County, California",6293,3895,1000,69,520,0
6075016900,"Census Tract 169, San Francisco County, California",3619,3075,223,0,230,0
6075017000,"Census Tract 170, San Francisco County, California",3625,2994,141,6,313,0
6075017100,"Census Tract 171, San Francisco County, California",7650,6449,383,0,387,0
6075017601,"Census Tract 176.01, San Francisco County, California",5905,1831,945,24,2500,131
6075017602,"Census Tract 176.02, San Francisco County, California",1054,750,0,6,254,0
6075017700,"Census Tract 177, San Francisco County, California",1580,1229,37,21,181,0
6075017800,"Census Tract 178, San Francisco County, California",6715,3240,568,18,2329,0
6075017901,"Census Tract 179.01, San Francisco County, California",8416,5239,598,31,1985,43
6075017902,"Census Tract 179.02, San Francisco County, California",2530,1538,392,0,402,32
6075018000,"Census Tract 180, San Francisco County, California",3002,1572,543,20,492,0
6075020100,"Census Tract 201, San Francisco County, California",5717,2892,309,216,1199,0
6075020200,"Census Tract 202, San Francisco County, California",5660,3765,473,85,708,7
6075020300,"Census Tract 203, San Francisco County, California",3151,2390,31,0,234,0
6075020400,"Census Tract 204, San Francisco County, California",7283,5788,221,0,904,0
6075020500,"Census Tract 205, San Francisco County, California",2661,2411,25,8,194,0
6075020600,"Census Tract 206, San Francisco County, California",5334,4561,118,0,347,0
6075020700,"Census Tract 207, San Francisco County, California",6835,5272,211,24,635,0
6075020800,"Census Tract 208, San Francisco County, California",6900,4767,101,13,789,0
6075020900,"Census Tract 209, San Francisco County, California",5087,4122,49,5,574,0
6075021000,"Census Tract 210, San Francisco County, California",4984,3838,31,31,636,0
6075021100,"Census Tract 211, San Francisco County, California",4680,3973,71,0,330,0
