Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
6075021100,"Census Tract 211, San Francisco County, California",4219,3547,76,0,305,0
6075021200,"Census Tract 212, San Francisco County, California",2812,2546,21,13,152,0
6075021300,"Census Tract 213, San Francisco County, California",2562,2217,0,7,203,0
6075021400,"Census Tract 214, San Francisco County, California",3419,2729,28,12,321,0
6075021500,"Census Tract 215, San Francisco County, California",5214,4099,105,0,580,0
6075021600,"Census Tract 216, San Francisco County, California",4069,2645,514,0,611,40
6075021700,"Census Tract 217, San Francisco County, California",3941,2592,195,56,716,0
6075021800,"Census Tract 218, San Francisco County, California",4297,3494,15,21,420,0
6075022600,"Census Tract 226, San Francisco County, California",1277,802,102,42,282,0
6075022702,"Census Tract 227.02, San Francisco County, California",2212,1752,0,0,274,0
6075022704,"Census Tract 227.04, San Francisco County, California",3118,2556,17,10,360,0
6075022801,"Census Tract 228.01, San Francisco County, California",4558,3465,136,0,411,0
6075022802,"Census Tract 228.02, San Francisco County, California",2137,1297,35,122,492,0
6075022803,"Census Tract 228.03, San Francisco County, California",4698,3184,47,7,640,0
6075022901,"Census Tract 229.01, San Francisco County, California",4079,2822,299,0,618,0
6075022902,"Census Tract 229.02, San Francisco County, California",2769,1942,123,0,263,0
6075022903,"Census Tract 229.03, San Francisco County, California",3274,2480,56,59,462,0
6075023001,"Census Tract 230.01, San Francisco County, California",5385,1385,1158,96,2578,0
6075023003,"Census Tract 230.03, San Francisco County, California",3737,644,1197,9,1661,0
6075023102,"Census Tract 231.02, San Francisco County, California",3482,746,2261,0,394,38
6075023103,"Census Tract 231.03, San Francisco County, California",3959,579,2571,32,181,346
6075023200,"Census Tract 232, San Francisco County, California",4444,1459,1962,202,516,0
6075023300,"Census Tract 233, San Francisco County, California",2710,239,465,0,1622,0
6075023400,"Census Tract 234, San Francisco County, California",3536,1524,666,0,558,47
6075025100,"Census Tract 251, San Francisco County, California",3226,2440,100,18,406,0
6075025200,"Census Tract 252, San Francisco County, California",5387,3991,324,14,641,24
6075025300,"Census Tract 253, San Francisco County, California",4956,3524,254,9,408,15
6075025401,"Census Tract 254.01, San Francisco County, California",3862,2537,96,52,597,24
6075025402,"Census Tract 254.02, San Francisco County, California",2977,1754,87,0,880,109
6075025403,"Census Tract 254.03, San Francisco County, California",4591,2406,398,86,995,0
6075025500,"Census Tract 255, San Francisco County, California",7866,3788,58,47,3037,0
6075025600,"Census Tract 256, San Francisco County, California",5681,1562,53,10,3425,17
6075025701,"Census Tract 257.01, San Francisco County, California",4408,1208,85,0,2788,0
