Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
6075010100,"Census Tract 101, San Francisco County, California",4000,2064,151,0,1416,0
6075010200,"Census Tract 102, San Francisco County, California",4300,3551,0,0,479,10
6075010300,"Census Tract 103, San Francisco County, California",4341,2673,0,0,1454,0
6075010400,"Census Tract 104, San Francisco County, California",5028,3111,0,5,1413,0
6075010500,"Census Tract 105, San Francisco County, California",2684,1473,145,0,732,25
6075010600,"Census Tract 106, San Francisco County, California",3567,1260,58,0,2150,0
6075010700,"Census Tract 107, San Francisco County, California",5509,1127,0,21,4141,0
6075010800,"Census Tract 108, San Francisco County, California",4514,2210,0,0,2004,0
6075010900,"Census Tract 109, San Francisco County, California",4447,3198,75,0,1050,0
6075011000,"Census Tract 110, San Francisco County, California",4742,2492,73,0,1924,0
6075011100,"Census Tract 111, San Francisco County, California",5081,3129,235,0,1403,0
6075011200,"Census Tract 112, San Francisco County, California",3335,1992,110,5,1084,1
6075011300,"Census Tract 113, San Francisco County, California",3061,654,66,15,2228,0
6075011700,"Census Tract 117, San Francisco County, California",1716,701,73,0,721,0
6075011800,"Census Tract 118, San Francisco County, California",1562,188,1,8,1301,0
6075011901,"Census Tract 119.01, San Francisco County, California",2570,1562,33,27,759,0
6075011902,"Census Tract 119.02, San Francisco County, California",2839,1559,51,0,937,0
6075012000,"Census Tract 120, San Francisco County, California",3962,1896,216,0,1332,0
6075012100,"Census Tract 121, San Francisco County, California",3908,2264,117,27,1098,0
6075012201,"Census Tract 122.01, San Francisco County, California",4728,2139,474,0,1065,0
6075012202,"Census Tract 122.02, San Francisco County, California",3271,1570,355,42,734,12
6075012301,"Census Tract 123.01, San Francisco County, California",2189,1064,242,36,597,0
6075012302,"Census Tract 123.02, San Francisco County, California",2529,1241,130,0,888,0
6075012401,"Census Tract 124.01, San Francisco County, California",4593,1981,430,23,1271,44
6075012402,"Census Tract 124.02, San Francisco County, California",3668,1806,260,4,1058,64
6075012501,"Census Tract 125.01, San Francisco County, California",3660,1349,495,11,1456,0
6075012502,"Census Tract 125.02, San Francisco County, California",3585,1089,406,50,1627,0
6075012601,"Census Tract 126.01, San Francisco County, California",2408,2091,41,0,197,0
6075012602,"Census Tract 126.02, San Francisco County, California",2900,2405,14,0,376,0
6075012700,"Census Tract 127, San Francisco County, California",3860,3242,39,0,297,21
6075012800,"Census Tract 128, San Francisco County, California",4783,4092,56,1,360,0
6075012901,"Census Tract 129.01, San Francisco County, California",2731,2300,0,24,261,0
6075012902,"Census Tract 129.02, San Francisco County, California",3638,2832,89,0,530,0
6075013000,"Census Tract 130, San Francisco County, California",4788,3956,0,28,555,0
6075013101,"Census Tract 131.01, San Francisco County, California",4072,3098,121,0,563,0
6075013102,"Census Tract 131.02, San Francisco County, California",2913,2345,21,0,425,13
6075013200,"Census Tract 132, San Francisco County, California",3877,2917,18,0,772,0
6075013300,"Census Tract 133, San Francisco County, California",4561,3408,114,0,665,13
6075013400,"Census Tract 134, San Francisco County, California",4000,3091,48,0,643,22
6075013500,"Census Tract 135, San Francisco County, California",2704,1963,91,13,510,0
6075015100,"Census Tract 151, San Francisco County, California",2178,1358,2,0,697,0
6075015200,"Census Tract 152, San Francisco County, California",4267,2795,286,0,1078,0
6075015300,"Census Tract 153, San Francisco County, California",2234,1554,170,0,371,21
6075015400,"Census Tract 154, San Francisco County, California",6161,3989,129,1,1605,89
6075015500,"Census Tract 155, San Francisco County, California",3651,2078,111,0,1283,0
6075015600,"Census Tract 156, San Francisco County, California",3274,1844,28,0,1183,0
6075015700,"Census Tract 157, San Francisco County, California",8910,5246,351,0,2336,104
6075015801,"Census Tract 158.01, San Francisco County, California",4121,1592,1518,0,630,0
6075015802,"Census Tract 158.02, San Francisco County, California",3321,2234,233,17,476,10
6075015900,"Census Tract 159, San Francisco County, California",4332,1641,505,148,1826,25
6075016000,"Census Tract 160, San Francisco County, California",2769,1333,206,0,1007,0
6075016100,"Census Tract 161, San Francisco County, California",5498,1367,2165,0,1435,0
6075016200,"Census Tract 162, San Francisco County, California",2937,2027,147,0,512,6
6075016300,"Census Tract 163, San Francisco County, California",4469,2668,655,0,675,0
6075016400,"Census Tract 164, San Francisco County, California",4320,3045,460,10,460,0
6075016500,"Census Tract 165, San Francisco County, California",5890,4146,657,11,540,0
6075016600,"Census Tract 166, San Francisco County, California",5613,4207,107,14,805,21
6075016700,"Census Tract 167, San Francisco County, California",4863,3962,255,0,335,0
6075016801,"Census Tract 168.01, San Francisco County, California",3232,2565,213,0,268,0
6075016802,"Census Tract 168.02, San Francisco County, California",3293,1937,172,75,656,10
6075016900,"Census Tract 169, San Francisco County, California",2907,2244,157,0,339,12
6075017000,"Census Tract 170, San Francisco County, California",3959,3265,41,0,494,21
6075017101,"Census Tract 171.01, San Francisco County, California",3814,3169,167,35,166,0
6075017102,"Census Tract 171.02, San Francisco County, California",3760,3073,64,0,309,0
6075017601,"Census Tract 176.01, San Francisco County, California",7834,2698,806,0,3410,0
6075017700,"Census Tract 177, San Francisco County, California",1791,779,41,98,260,0
6075017801,"Census Tract 178.01, San Francisco County, California",3209,1015,136,0,2003,0
6075017802,"Census Tract 178.02, San Francisco County, California",4856,2089,684,0,1284,16
6075017902,"Census Tract 179.02, San Francisco County, California",3090,1040,633,54,461,61
6075018000,"Census Tract 180, San Francisco County, California",3279,1485,520,25,804,18
6075020100,"Census Tract 201, San Francisco County, California",5959,2867,272,143,958,81
6075020200,"Census Tract 202, San Francisco County, California",6013,4034,227,16,984,0
6075020300,"Census Tract 203, San Francisco County, California",3161,2255,67,17,440,0
6075020401,"Census Tract 204.01, San Francisco County, California",3118,2319,91,38,447,0
6075020402,"Census Tract 204.02, San Francisco County, California",4461,3175,87,0,658,0
