Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
6075010100,"Census Tract 101, San Francisco County, California",3798,2124,53,0,1284,0
6075010200,"Census Tract 102, San Francisco County, California",4172,3520,0,0,401,13
6075010300,"Census Tract 103, San Francisco County, California",4387,2489,0,0,1700,0
6075010400,"Census Tract 104, San Francisco County, California",5148,3133,0,0,1429,0
6075010500,"Census Tract 105, San Francisco County, California",2589,1425,51,0,804,21
6075010600,"Census Tract 106, San Francisco County, California",3604,1244,64,0,2113,0
6075010700,"Census Tract 107, San Francisco County, California",5302,1246,0,0,3998,0
6075010800,"Census Tract 108, San Francisco County, California",5065,2337,0,11,2423,0
6075010900,"Census Tract 109, San Francisco County, California",4535,3107,100,0,1249,0
6075011000,"Census Tract 110, San Francisco County, California",5085,2418,70,0,2227,0
6075011100,"Census Tract 111, San Francisco County, California",4940,3140,207,0,1251,0
6075011200,"Census Tract 112, San Francisco County, California",3281,1845,60,0,1126,70
6075011300,"Census Tract 113, San Francisco County, California",2885,568,76,37,2110,9
6075011700,"Census Tract 117, San Francisco County, California",1635,609,105,0,723,0
6075011800,"Census Tract 118, San Francisco County, California",1622,173,3,21,1361,0
6075011901,"Census Tract 119.01, San Francisco County, California",2561,1499,110,25,725,0
6075011902,"Census Tract 119.02, San Francisco County, California",2786,1550,59,0,902,0
6075012000,"Census Tract 120, San Francisco County, California",3776,1813,216,0,1455,0
6075012100,"Census Tract 121, San Francisco County, California",3973,2339,119,26,1099,0
6075012201,"Census Tract 122.01, San Francisco County, California",4845,2099,317,0,1305,0
6075012202,"Census Tract 122.02, San Francisco County, California",3295,1559,646,27,582,11
6075012301,"Census Tract 123.01, San Francisco County, California",1996,990,203,22,572,0
6075012302,"Census Tract 123.02, San Francisco County, California",2468,1112,154,0,926,0
6075012401,"Census Tract 124.01, San Francisco County, California",4787,2307,269,17,1168,37
6075012402,"Census Tract 124.02, San Francisco County, California",3600,1596,261,0,1245,0
6075012501,"Census Tract 125.01, San Francisco County, California",3728,1303,537,66,1551,0
6075012502,"Census Tract 125.02, San Francisco County, California",4101,1118,440,90,1678,0
6075012601,"Census Tract 126.01, San Francisco County, California",2334,2006,14,0,242,0
6075012602,"Census Tract 126.02, San Francisco County, California",2943,2530,0,0,295,0
6075012700,"Census Tract 127, San Francisco County, California",3760,3034,142,0,282,15
6075012800,"Census Tract 128, San Francisco County, California",5128,4255,59,1,506,0
6075012901,"Census Tract 129.01, San Francisco County, California",2587,2102,0,8,320,0
6075012902,"Census Tract 129.02, San Francisco County, California",3537,2753,38,0,558,0
6075013000,"Census Tract 130, San Francisco County, California",4626,3902,0,11,512,0
6075013101,"Census Tract 131.01, San Francisco County, California",4071,2912,118,0,798,0
6075013102,"Census Tract 131.02, San Francisco County, California",2823,2386,9,0,339,11
6075013200,"Census Tract 132, San Francisco County, California",4796,3972,94,0,640,0
6075013300,"Census Tract 133, San Francisco County, California",4497,3436,86,0,617,13
6075013400,"Census Tract 134, San Francisco County, California",4026,3366,53,0,377,26
6075013500,"Census Tract 135, San Francisco County, California",2580,1909,66,2,485,5
6075015100,"Census Tract 151, San Francisco County, California",2175,1305,0,0,707,0
6075015200,"Census Tract 152, San Francisco County, California",4300,2896,286,0,1002,0
6075015300,"Census Tract 153, San Francisco County, California",2141,1507,175,0,315,21
6075015400,"Census Tract 154, San Francisco County, California",6080,3882,180,1,1633,60
6075015500,"Census Tract 155, San Francisco County, California",3633,2117,205,0,1166,0
6075015600,"Census Tract 156, San Francisco County, California",3323,1853,48,0,1156,0
6075015700,"Census Tract 157, San Francisco County, California",8403,4755,490,0,2232,124
6075015801,"Census Tract 158.01, San Francisco County, California",3997,1627,1517,0,678,0
6075015802,"Census Tract 158.02, San Francisco County, California",3081,2067,278,21,352,0
6075015900,"Census Tract 159, San Francisco County, California",4077,1652,545,147,1440,29
6075016000,"Census Tract 160, San Francisco County, California",2554,1336,187,0,806,0
6075016100,"Census Tract 161, San Francisco County, California",5482,1337,1819,54,1752,0
6075016200,"Census Tract 162, San Francisco County, California",2733,1899,117,0,445,6
6075016300,"Census Tract 163, San Francisco County, California",4623,2574,1169,0,589,0
6075016400,"Census Tract 164, San Francisco County, California",4118,2989,463,9,365,0
6075016500,"Census Tract 165, San Francisco County, California",5708,3977,658,11,549,0
6075016600,"Census Tract 166, San Francisco County, California",5468,4182,90,17,722,27
6075016700,"Census Tract 167, San Francisco County, California",4793,4026,196,9,342,0
6075016801,"Census Tract 168.01, San Francisco County, California",3558,2411,460,20,407,78
6075016802,"Census Tract 168.02, San Francisco County, California",3011,1897,216,51,370,11
6075016900,"Census Tract 169, San Francisco County, California",2987,2342,141,0,308,0
6075017000,"Census Tract 170, San Francisco County, California",3825,3092,87,0,513,21
6075017101,"Census Tract 171.01, San Francisco County, California",3733,3128,152,27,149,0
6075017102,"Census Tract 171.02, San Francisco County, California",3764,2997,113,0,261,0
6075017601,"Census Tract 176.01, San Francisco County, California",7208,2372,977,43,3259,36
6075017700,"Census Tract 177, San Francisco County, California",1763,919,48,64,212,0
6075017801,"Census Tract 178.01, San Francisco County, California",3115,875,140,0,2015,0
6075017802,"Census Tract 178.02, San Francisco County, California",4539,2017,622,0,1210,17
6075017902,"Census Tract 179.02, San Francisco County, California",3187,1191,593,53,545,62
6075018000,"Census Tract 180, San Francisco County, California",3231,1527,483,23,658,26
6075020100,"Census Tract 201, San Francisco County, California",5548,2574,230,65,1070,80
6075020200,"Census Tract 202, San Francisco County, California",5925,3763,351,0,1092,0
6075020300,"Census Tract 203, San Francisco County, California",3030,2197,81,41,368,0
6075020401,"Census Tract 204.01, San Francisco County, California",3139,2433,118,35,343,0
