Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
6075010100,"Census Tract 101, San Francisco County, California",3967,1955,135,0,1549,0
6075010200,"Census Tract 102, San Francisco County, California",4363,3677,34,0,488,9
6075010300,"Census Tract 103, San Francisco County, California",4377,2708,0,0,1445,0
6075010400,"Census Tract 104, San Francisco County, California",4645,2772,1,4,1320,0
6075010500,"Census Tract 105, San Francisco County, California",2691,1487,243,0,659,0
6075010600,"Census Tract 106, San Francisco County, California",3505,1210,57,0,2161,0
6075010700,"Census Tract 107, San Francisco County, California",5502,1118,0,23,4164,0
6075010800,"Census Tract 108, San Francisco County, California",4927,2744,0,0,1827,0
6075010900,"Census Tract 109, San Francisco County, California",4519,3166,69,0,1135,0
6075011000,"Census Tract 110, San Francisco County, California",4989,2687,88,0,2066,0
6075011100,"Census Tract 111, San Francisco County, California",4844,3291,259,0,1054,0
6075011200,"Census Tract 112, San Francisco County, California",3378,2019,130,5,1105,0
6075011300,"Census Tract 113, San Francisco County, California",2907,610,68,19,2147,0
6075011700,"Census Tract 117, San Francisco County, California",1704,601,73,0,819,0
6075011800,"Census Tract 118, San Francisco County, California",1558,183,1,10,1358,0
6075011901,"Census Tract 119.01, San Francisco County, California",2613,1498,39,34,817,0
6075011902,"Census Tract 119.02, San Francisco County, California",2825,1537,75,0,877,17
6075012000,"Census Tract 120, San Francisco County, California",3951,1730,189,72,1449,0
6075012100,"Census Tract 121, San Francisco County, California",4062,2445,133,13,1086,0
6075012201,"Census Tract 122.01, San Francisco County, California",4710,2019,359,0,992,0
6075012202,"Census Tract 122.02, San Francisco County, California",3443,1647,461,43,612,12
6075012301,"Census Tract 123.01, San Francisco County, California",2124,1048,254,33,539,0
6075012302,"Census Tract 123.02, San Francisco County, California",2507,1228,119,0,771,7
6075012401,"Census Tract 124.01, San Francisco County, California",4986,2014,543,45,1479,49
6075012402,"Census Tract 124.02, San Francisco County, California",4000,2100,269,3,1022,48
6075012501,"Census Tract 125.01, San Francisco County, California",3559,1386,388,7,1450,0
6075012502,"Census Tract 125.02, San Francisco County, California",3707,1175,384,47,1409,0
6075012601,"Census Tract 126.01, San Francisco County, California",2592,2298,55,0,206,0
6075012602,"Census Tract 126.02, San Francisco County, California",2814,2346,15,0,384,0
6075012700,"Census Tract 127, San Francisco County, California",3637,3016,92,0,319,23
6075012800,"Census Tract 128, San Francisco County, California",4738,4100,80,1,375,0
6075012901,"Census Tract 129.01, San Francisco County, California",2754,2297,0,27,282,0
6075012902,"Census Tract 129.02, San Francisco County, California",3628,2878,100,12,437,0
6075013000,"Census Tract 130, San Francisco County, California",4957,4147,0,29,550,0
6075013101,"Census Tract 131.01, San Francisco County, California",3742,2956,131,0,500,0
6075013102,"Census Tract 131.02, San Francisco County, California",3084,2291,23,0,609,11
6075013200,"Census Tract 132, San Francisco County, California",4044,3125,144,0,636,0
6075013300,"Census Tract 133, San Francisco County, California",4626,3452,98,0,684,14
6075013400,"Census Tract 134, San Francisco County, California",4031,3001,59,0,704,16
6075013500,"Census Tract 135, San Francisco County, California",2617,1777,71,10,633,0
6075015100,"Census Tract 151, San Francisco County, California",2425,1475,4,0,752,0
