Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
6075010100,"Census Tract 101, San Francisco County, California",3741,1974,58,13,1396,0
6075010200,"Census Tract 102, San Francisco County, California",4028,3416,19,0,339,0
6075010300,"Census Tract 103, San Francisco County, California",4729,2730,0,0,1901,0
6075010400,"Census Tract 104, San Francisco County, California",5103,3097,1,0,1465,0
6075010500,"Census Tract 105, San Francisco County, California",2592,1765,40,0,612,19
6075010600,"Census Tract 106, San Francisco County, California",3607,1215,78,0,2002,0
6075010700,"Census Tract 107, San Francisco County, California",5535,933,183,0,4355,0
6075010800,"Census Tract 108, San Francisco County, California",4925,2348,15,9,2379,0
6075010900,"Census Tract 109, San Francisco County, California",4571,3221,47,0,1176,0
6075011000,"Census Tract 110, San Francisco County, California",5621,2726,98,0,2527,0
6075011100,"Census Tract 111, San Francisco County, California",5286,2583,363,0,1876,0
6075011200,"Census Tract 112, San Francisco County, California",2932,1642,36,1,1090,34
6075011300,"Census Tract 113, San Francisco County, California",3204,555,57,20,2494,5
6075011700,"Census Tract 117, San Francisco County, California",1461,580,161,0,595,0
6075011800,"Census Tract 118, San Francisco County, California",1808,175,3,15,1557,0
6075011901,"Census Tract 119.01, San Francisco County, California",2443,1357,115,28,796,0
6075011902,"Census Tract 119.02, San Francisco County, California",2723,1571,41,13,791,21
6075012000,"Census Tract 120, San Francisco County, California",3723,2103,241,0,1002,0
6075012100,"Census Tract 121, San Francisco County, California",3784,2309,76,28,1006,0
6075012201,"Census Tract 122.01, San Francisco County, California",4514,1871,360,0,1479,0
6075012202,"Census Tract 122.02, San Francisco County, California",2605,1262,402,20,717,0
6075012301,"Census Tract 123.01, San Francisco County, California",1804,634,216,21,617,0
6075012302,"Census Tract 123.02, San Francisco County, California",2423,1149,240,20,945,0
6075012401,"Census Tract 124.01, San Francisco County, California",4196,1993,293,11,1071,0
6075012402,"Census Tract 124.02, San Francisco County, California",3466,1574,278,0,936,2
6075012501,"Census Tract 125.01, San Francisco County, California",3336,1222,392,65,1214,1
6075012502,"Census Tract 125.02, San Francisco County, California",3741,821,520,105,1713,0
6075012601,"Census Tract 126.01, San Francisco County, California",2392,2087,0,0,245,0
