Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
6075010100,"Census Tract 101, San Francisco County, California",3851,1686,346,11,1507,0
6075010200,"Census Tract 102, San Francisco County, California",4128,3436,44,0,382,0
6075010300,"Census Tract 103, San Francisco County, California",4254,2710,82,0,1443,0
6075010400,"Census Tract 104, San Francisco County, California",4531,3092,1,0,1210,0
6075010500,"Census Tract 105, San Francisco County, California",2495,1741,19,0,557,0
6075010600,"Census Tract 106, San Francisco County, California",3963,1183,53,0,2474,0
6075010700,"Census Tract 107, San Francisco County, California",5752,990,210,10,4473,0
6075010800,"Census Tract 108, San Francisco County, California",4819,2322,70,17,2260,0
6075010900,"Census Tract 109, San Francisco County, California",4564,3142,48,101,1105,0
6075011000,"Census Tract 110, San Francisco County, California",5551,2256,129,0,2988,0
6075011100,"Census Tract 111, San Francisco County, California",5146,2406,335,17,2003,0
6075011200,"Census Tract 112, San Francisco County, California",3333,1908,0,1,1272,30
6075011300,"Census Tract 113, San Francisco County, California",3331,425,32,18,2817,6
6075011700,"Census Tract 117, San Francisco County, California",1422,637,175,0,519,0
6075011800,"Census Tract 118, San Francisco County, California",1724,83,4,8,1626,0
6075011901,"Census Tract 119.01, San Francisco County, California",2248,1322,145,0,641,0
6075011902,"Census Tract 119.02, San Francisco County, California",2628,1505,17,56,767,26
6075012000,"Census Tract 120, San Francisco County, California",3364,1892,179,0,988,0
6075012100,"Census Tract 121, San Francisco County, California",3316,2068,87,8,954,12
6075012201,"Census Tract 122.01, San Francisco County, California",4324,2033,187,0,1542,0
6075012202,"Census Tract 122.02, San Francisco County, California",2507,1316,388,0,637,0
6075012301,"Census Tract 123.01, San Francisco County, California",1944,567,302,0,834,0
6075012302,"Census Tract 123.02, San Francisco County, California",2179,1131,252,71,549,0
6075012401,"Census Tract 124.01, San Francisco County, California",4343,1902,163,24,1021,15
6075012402,"Census Tract 124.02, San Francisco County, California",3175,1153,270,0,1251,7
6075012501,"Census Tract 125.01, San Francisco County, California",3259,1318,506,125,910,1
6075012502,"Census Tract 125.02, San Francisco County, California",3433,794,641,49,1355,0
6075012601,"Census Tract 126.01, San Francisco County, California",2290,2019,0,34,209,0
6075012602,"Census Tract 126.02, San Francisco County, California",2617,2437,0,0,101,0
6075012700,"Census Tract 127, San Francisco County, California",3293,2815,0,0,379,0
6075012800,"Census Tract 128, San Francisco County, California",3988,3245,18,18,463,0
6075012901,"Census Tract 129.01, San Francisco County, California",2517,2029,5,32,364,0
6075012902,"Census Tract 129.02, San Francisco County, California",3260,2689,22,0,372,0
6075013000,"Census Tract 130, San Francisco County, California",3619,3198,27,10,275,0
6075013101,"Census Tract 131.01, San Francisco County, California",3945,2849,4,0,959,0
6075013102,"Census Tract 131.02, San Francisco County, California",2844,2445,104,0,228,0
6075013200,"Census Tract 132, San Francisco County, California",4697,3992,71,16,488,0
6075013300,"Census Tract 133, San Francisco County, California",4082,3219,22,0,527,14
6075013400,"Census Tract 134, San Francisco County, California",3450,2985,177,10,175,0
6075013500,"Census Tract 135, San Francisco County, California",2697,2222,48,0,320,2
6075015100,"Census Tract 151, San Francisco County, California",2108,1355,28,0,637,0
6075015200,"Census Tract 152, San Francisco County, California",3651,2649,71,0,844,0
6075015300,"Census Tract 153, San Francisco County, California",2104,1452,171,0,254,0
6075015400,"Census Tract 154, San Francisco County, California",5547,3662,176,0,1489,0
6075015500,"Census Tract 155, San Francisco County, California",3932,2067,367,0,1224,0
6075015600,"Census Tract 156, San Francisco County, California",2907,1449,124,0,1097,8
6075015700,"Census Tract 157, San Francisco County, California",7673,3996,514,0,1992,61
6075015801,"Census Tract 158.01, San Francisco County, California",3211,1389,989,0,628,0
6075015802,"Census Tract 158.02, San Francisco County, California",2703,1744,499,0,315,12
6075015900,"Census Tract 159, San Francisco County, California",4149,1757,661,7,1459,0
6075016000,"Census Tract 160, San Francisco County, California",2363,1478,51,7,636,0
6075016100,"Census Tract 161, San Francisco County, California",4651,1500,1684,47,1019,0
6075016200,"Census Tract 162, San Francisco County, California",2160,1489,48,0,350,13
6075016300,"Census Tract 163, San Francisco County, California",4661,2596,1164,26,533,0
6075016400,"Census Tract 164, San Francisco County, California",4134,2642,679,44,353,0
6075016500,"Census Tract 165, San Francisco County, California",5098,4023,193,29,456,13
